id,場所,シリアル,live_s,roi_lo,roi_hi,roi_peak,roi_auto_lo,roi_auto_hi,roi_counts,roi_cps,roi_bg_counts,roi_bg_cps,roi_net_counts,roi_net_cps,roi_net_cps_err,roi_net_valid,roi_warning,bg_mode,sb_lo,sb_hi
D1_20260818_1552_kanri2f,D1_20260818_1552_管理棟2階,1715,1335.366,314,366,345,314,366,759.0,0.5683834993552329,88.33333333333331,0.06614915561226908,670.6666666666667,0.5022343437429639,0.021798511114426853,1,,sideband,299–313,367–381
D1_20260818_1730_linac,D1_20260818_1730_linac,1715,4208.884,314,366,342,311,362,328.0,0.07793039675125282,38.86666666666667,0.009234435224792763,289.1333333333333,0.06869596152646006,0.004550793933228789,1,,sideband,299–313,367–381
d1_20260819_1520_kanri2f,d1_20260819_1520_管理棟2階,2162,76826.197,350,408,390,348,408,10734.0,0.13971796625570312,971.5333333333333,0.012645860022634379,9762.466666666667,0.12707210623306875,0.0014082711016250775,1,,sideband,335–349,409–423
D1_20260819_0832_kanri2f,D1_20260819_0832_管理棟2階,1715,52246.972,314,366,343,314,366,31342.0,0.599881654385636,3464.433333333333,0.06630878691560026,27877.566666666666,0.5335728674700356,0.003570825566852014,1,,sideband,299–313,367–381
D1_20260819_1344_kanri1f,D1_20260819_1344_管理棟1階,1715,17482.328,314,366,340,313,366,7558.0,0.4323222856818611,862.1333333333332,0.04931456115760631,6695.866666666667,0.3830077245242548,0.005248802362095381,1,,sideband,299–313,367–381
D1_20260819_1530_ground,D1_20260819_1530_地上,1715,4748.053,314,366,340,313,365,2284.0,0.4810392807325445,227.89999999999998,0.0479986217508524,2056.1,0.4330406589816921,0.010555665390852306,1,,sideband,299–313,367–381
D1_20260819_1854_hoshasenBT,D1_20260819_1854_放射線棟BT,1715,9583.863,370,422,396,80,110,892.0,0.09307311675886853,148.4,0.0154843615773723,743.6,0.07758875518149624,0.0033655773390873253,1,peak=396 のため共通窓幅53chを 370-422 に中心移動,sideband,355–369,423–437
d2_20260819_1859_hoshasenBT,d2_20260819_1859_放射線棟BT,2162,9540.474,350,408,391,361,410,122.0,0.01278762459810697,9.833333333333332,0.0010306965181534305,112.16666666666667,0.01175692807995354,0.0012034904939139527,1,,sideband,335–349,409–423
D1_20260820_0807_PF,D1_20260820_0807_PF,1715,45702.849,362,414,388,358,415,10425.0,0.2281039416164187,1254.3333333333333,0.027445407907356785,9170.666666666666,0.2006585337090619,0.0023646439271170034,1,"アンプD/d取り違え補正: rebin×1.6033 (peak 242→388, 参照=D2_20260822_115234_PF.mca); peak=388 のため共通窓幅53chを 362-414 に中心移動",sideband,347–361,415–429
D1_20260820_1939_KEKB,D1_20260820_1939_KEKB,1715,39007.479,359,411,385,80,111,1528.0,0.03917197519993538,229.66666666666663,0.005887759797721525,1298.3333333333335,0.03328421540221386,0.0010747819765041854,1,peak=385 のため共通窓幅53chを 359-411 に中心移動,sideband,344–358,412–426
d2_20260820_1939_KEKB,d2_20260820_1939_KEKB,2162,39037.899,350,408,395,351,415,248.0,0.00635280090252808,24.366233766233762,0.0006241686768602419,223.63376623376624,0.005728632225667838,0.00042275640549910125,1,peak=395 が積分窓端に近い（側帯定義を確認）,sideband,335–349,412–426
D2_20260821_080728_linac,D2_20260821_080728_linac,1715,42577.495,362,414,388,80,109,2369.0,0.05563972234627706,464.63333333333344,0.010912650763820968,1904.3666666666666,0.0447270715824561,0.001250235192957152,1,peak=388 のため共通窓幅53chを 362-414 に中心移動,sideband,347–361,415–429
d2_20260821_080725_linac,d2_20260821_080725_linac,2162,41897.088,350,408,391,356,418,839.0,0.020025258079988756,428.7333333333333,0.010233010306905656,410.2666666666667,0.0097922477730831,0.0008498261993674109,1,右側帯を使わず左側帯水平背景,sideband_left,335–349,335–349
D2_20260821_170217_linacIRON,D2_20260821_170217_linacIRON,1715,30863.476,356,408,382,80,109,6760.0,0.2190291203751645,975.2,0.03159721866713912,5784.8,0.18743190170802537,0.0028496461573990577,1,peak=382 のため共通窓幅53chを 356-408 に中心移動,sideband,341–355,409–423
d2_20260821_170219_linacIRON,d2_20260821_170219_linacIRON,2162,30086.826,350,408,391,356,417,1531.0,0.05088605890166015,143.56666666666666,0.004771745170682566,1387.4333333333334,0.04611431373097758,0.0013601125458585727,1,,sideband,335–349,409–423
D2_20260822_115234_PF,D2_20260822_115234_PF,1715,62847.949,360,412,386,355,414,9179.0,0.14605090772333715,1798.4666666666665,0.028616155264934207,7380.533333333334,0.11743475245840296,0.0016670934845470524,1,peak=386 のため共通窓幅53chを 360-412 に中心移動,sideband,345–359,413–427
d2_20260822_155046_ground,d2_20260822_155046_地上,2162,12104.829,350,408,386,336,408,1058.0,0.08740313473242786,326.4666666666667,0.026969952790466243,731.5333333333333,0.060433181941961615,0.00307384945179399,1,右側帯を使わず左側帯水平背景,sideband_left,335–349,335–349
D2_20260822_155048_ground,D2_20260822_155048_地上,1715,12301.957,366,418,392,357,414,3569.0,0.29011644244895346,570.6333333333334,0.04638557372077739,2998.366666666667,0.24373086872817606,0.005230060744419984,1,peak=392 のため共通窓幅53chを 366-418 に中心移動,sideband,351–365,419–433
D1_20260822_1633__kanri_30cm,D1_20260822_1633_熱中性子管理棟-30cm,1715,28.09,388,440,414,292,455,138006.0,4912.993948024208,92113.99999999999,3279.245283018867,45892.000000000015,1633.7486650053404,17.07754519990895,1,peak=414 のため共通窓幅53chを 388-440 に中心移動,sideband,373–387,441–455
D1_20260822_1644__kanri2_80cm,D1_20260822_1644_熱中性子管理棟2-80cm,1715,50.435,357,409,383,296,415,110120.0,2183.404381877664,51577.833333333336,1022.659528766399,58542.166666666664,1160.7448531112652,7.97296899354964,1,peak=383 のため共通窓幅53chを 357-409 に中心移動,sideband,342–356,410–424
D1_20260822_1650__kanri_gain500,D1_20260822_1650_熱中性子管理棟-gain500,1715,61.569,222,274,248,185,273,149420.0,2426.870665432279,59852.9,972.127206873589,89567.1,1454.7434585586902,7.4300955100875505,1,peak=248 のため共通窓幅53chを 222-274 に中心移動,sideband,207–221,275–289
D1_20260822_1653__kanri_gain750_corse_gain_200_100,D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更,1715,59.851,314,366,306,84,142,184.0,3.074301181266813,451.8057971014492,7.54884291158793,-267.8057971014492,-4.474541730321117,0.4212993903017736,0,NET<=0（ROI または背景定義を確認）; peak=306 が積分窓端に近い（側帯定義を確認）,sideband,275–289,367–381
D1_20260822_1653__kanri_corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750,1715,32.866,314,366,339,137,212,2970.0,90.36694456277003,2657.0666666666666,80.84545325462992,312.9333333333334,9.521491308140126,2.2824127217335786,1,,sideband,299–313,367–381
d1_20260822_1702__kanri_80cm,d1_20260822_1702_熱中性子管理棟-80cm,2162,62.913,350,408,383,344,404,36380.0,578.2588654173223,4078.866666666667,64.8334472472568,32301.13333333333,513.4254181700655,3.1971753918078845,1,,sideband,335–349,409–423
