detector,site,x,y
D1,地上,0.0,0.00128025
D2,地上,0.0,0.000958699
d2,地上,0.0,0.000803707
D1,testhole,57.0,0.000349989
d1,testhole,57.0,0.00100956
D1,PF,105.0,0.000572013
D2,PF,105.0,0.000373112
D1,BT,189.13043478260875,0.000319705
d2,BT,189.13043478260875,0.0001437
D1,Linac3,300.0,0.000193771
D2,Linac3,300.0,0.000150779
d1,Linac3,300.0,0.000303245
d2,Linac3,300.0,0.00016138
D1,PS,480.00000000000006,6.64472e-05
d1,PS,480.00000000000006,0.00014638
D1,KEKB,525.4347826086957,0.00010076
d2,KEKB,525.4347826086957,9.12716e-05
D2,linacIRON,728.2608695652175,0.000722518
d2,linacIRON,728.2608695652175,0.000545709
literature,神岡,80341.3043478261,7.8e-06
