検出器,地点,filename,シリアル,NET_CPS_191_764keV,NET_CPS_191_764keV_err,peak_ROI_net_CPS,peak_ROI_net_CPS_err,相対_基準地点,相対フラックス,相対フラックス_err,相対_D1地上,相対_D1地上_err,絶対phi_n_cm2_s,絶対phi_err,備考
D1,地上,D1_20260819_1530_地上.mca,1715,0.541218,0.0126513,0.433041,0.0105557,地上,1,0.02338,1,0.02338,0.00131715,3.07892e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,1715,0.649742,0.00426578,0.533573,0.00357083,地上,1.201,0.007882,1.201,0.007882,0.00158127,1.03816e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,1715,0.477254,0.00629635,0.383008,0.0052488,地上,0.8818,0.01163,0.8818,0.01163,0.00116149,1.53233e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,testhole,D1_20260823_1510_linac_testhole.mca,1715,0.229657,0.00336859,0.163091,0.00341652,地上,0.4243,0.006224,0.4243,0.006224,0.000558913,8.19807e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,PF,D1_20260820_0807_PF.mca,1715,0.23504,0.002896,0.200659,0.00236464,地上,0.4343,0.005351,0.4343,0.005351,0.000572013,7.04795e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,linac,D1_20260823_1510_Linac3.mca,1715,0.0613624,0.00221462,0.0586696,0.00176894,地上,0.1134,0.004092,0.1134,0.004092,0.000149337,5.38969e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,PS,D1_20260823_1510_PS.mca,1715,0.0550009,0.00118076,0.0254079,0.000695076,地上,0.1016,0.002182,0.1016,0.002182,0.000133855,2.87359e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,1715,0.102619,0.00421329,0.0775888,0.00336558,地上,0.1896,0.007785,0.1896,0.007785,0.000249742,1.02538e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,KEKB,D1_20260820_1939_KEKB.mca,1715,0.0326119,0.00139426,0.0332842,0.00107478,地上,0.06026,0.002576,0.06026,0.002576,7.93671e-05,3.39318e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D2,地上,D2_20260822_155048_地上.mca,1715,0.286488,0.00686949,0.243731,0.00523006,地上,1,0.02398,0.7094,0.01701,0.000934405,2.24054e-05,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
D2,testhole,D2_20260824_1440_linac_testhole.mca,1715,0.229657,0.00336859,0.163091,0.00341652,地上,0.8016,0.01176,0.5687,0.008341,0.000749046,1.09869e-05,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
D2,PF,D2_20260822_115234_PF.mca,1715,0.145057,0.00244402,0.117435,0.00166709,地上,0.5063,0.008531,0.3592,0.006052,0.000473116,7.97136e-06,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
D2,linac,D2_20260823_0835_Linac3.mca,1715,0.0381925,0.0012924,0.0408726,0.00100348,地上,0.1333,0.004511,0.09457,0.0032,0.000124568,4.21527e-06,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
d1,管理棟2階,d1_20260819_1520_管理棟2階.mca,2162,0.201708,0.00162635,0.127072,0.00140827,管理棟2階,1,0.008063,1.364,0.011,0.00179615,1.44822e-05,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d1,testhole,d1_20260823_1509_linac_testhole.mca,2162,0.113374,0.00244452,0.0499352,0.00245789,管理棟2階,0.5621,0.01212,0.7665,0.01653,0.00100956,2.17678e-05,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d1,linac,d1_20260823_1509_Linac3.mca,2162,0.0247786,0.00103155,0.0139109,0.000894702,管理棟2階,0.1228,0.005114,0.1675,0.006974,0.000220646,9.18562e-06,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d1,PS,d1_20260823_1509_PS.mca,2162,0.0164385,0.000462368,0.01075,0.00048126,管理棟2階,0.0815,0.002292,0.1111,0.003126,0.00014638,4.11726e-06,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d2,地上,d2_20260822_155046_地上.mca,2162,0.109626,0.00300938,0.0604332,0.00307385,地上,1,0.02745,0.6102,0.01675,0.000803707,2.20629e-05,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
d2,linac,d2_20260823_0834_Linac3.mca,2162,0.0220122,0.000656302,0.00682382,0.000452034,地上,0.2008,0.005987,0.1225,0.003653,0.00016138,4.8116e-06,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
d2,放射線棟BT,d2_20260819_1859_放射線棟BT.mca,2162,0.0196007,0.00143335,0.0117569,0.00120349,地上,0.1788,0.01307,0.1091,0.007978,0.0001437,1.05084e-05,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
d2,KEKB,d2_20260820_1939_KEKB.mca,2162,0.00799223,0.000452471,0.00572863,0.000422756,地上,0.0729,0.004127,0.04449,0.002518,5.85941e-05,3.31724e-06,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
