detector,site,x,y,y_err,x_err
D1,地上,0.0,0.00168959,4.11848e-05,0.0
D2,地上,0.0,0.00136544,2.93001e-05,0.0
d2,地上,0.0,0.00282685,0.000101033,0.0
D1,testhole,57.0,0.000984967,1.54042e-05,5.580481783647192
D2,testhole,57.0,0.00141427,2.21181e-05,5.580481783647192
d1,testhole,57.0,0.00121517,3.80628e-05,5.580481783647192
D1,PF,105.0,0.000782905,9.22608e-06,6.9572774725367745
D2,PF,105.0,0.000657898,9.33946e-06,6.9572774725367745
D1,BT,189.13043478260875,0.000384555,1.43439e-05,23.952704264610748
d2,BT,189.13043478260875,0.000384158,3.76253e-05,23.952704264610748
D1,Linac3,300.0,0.000462446,9.32052e-06,19.877935635819355
D2,Linac3,300.0,0.000463922,7.56821e-06,19.877935635819355
d1,Linac3,300.0,0.000318129,1.53759e-05,19.877935635819355
d2,Linac3,300.0,0.000421292,1.77049e-05,19.877935635819355
D2,K2KBL,444.0,0.000213566,7.1248e-06,29.419344741012647
D1,PS,480.00000000000006,0.00020889,3.57849e-06,31.804697017310968
d1,PS,480.00000000000006,0.000199319,7.18655e-06,31.804697017310968
D1,KEKB,525.4347826086957,0.000269298,5.61531e-06,80.5325588150567
d2,KEKB,525.4347826086957,0.000273234,1.55232e-05,80.5325588150567
literature,神岡,80341.3043478261,7.8e-06,0.0,0.0
