検出器,地点,filename,peak_net_cps,wall_net_cps,ratio_wall_over_peak,phi_peak,phi_wall,備考
D1,管理棟2階,D1_20260818_1552_管理棟2階.mca,0.502234,0.604386,1.203,0.00195972,0.00147072,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260818_1730_linac.mca,0.068696,0.103164,1.502,0.000268051,0.000251042,peak εS=256.3; wall εS=410.9
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,0.533573,0.649742,1.218,0.002082,0.00158109,peak εS=256.3; wall εS=410.9
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,0.383008,0.477254,1.246,0.00149449,0.00116136,peak εS=256.3; wall εS=410.9
D1,地上,D1_20260819_1530_地上.mca,0.433041,0.541218,1.25,0.00168972,0.00131701,peak εS=256.3; wall εS=410.9
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,0.0985615,0.136792,1.388,0.000384587,0.000332873,peak εS=256.3; wall εS=410.9
D1,PF,D1_20260820_0807_PF.mca,0.200659,0.23504,1.171,0.000782969,0.000571951,peak εS=256.3; wall εS=410.9
D1,KEKB,D1_20260820_1939_KEKB.mca,0.0472046,0.0633981,1.343,0.000184192,0.000154274,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260823_1510_Linac3.mca,0.0819658,0.135213,1.65,0.00031983,0.000329029,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260823_1510_linac_testhole.mca,0.169488,0.219909,1.297,0.00066134,0.000535131,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260823_1510_linac_testhole_error.mca,0.124344,0.190748,1.534,0.000485188,0.000464169,peak εS=256.3; wall εS=410.9
D2,linac,D2_20260821_080728_linac.mca,0.0447271,0.0749251,1.675,0.00025052,0.000247863,peak εS=178.5; wall εS=302.3
D2,linac_IRON,D2_20260821_170217_linacIRON.mca,0.187432,0.215983,1.152,0.00104982,0.000714504,peak εS=178.5; wall εS=302.3
D2,PF,D2_20260822_115234_PF.mca,0.117435,0.145057,1.235,0.000657762,0.00047987,peak εS=178.5; wall εS=302.3
D2,地上,D2_20260822_155048_地上.mca,0.243731,0.286488,1.175,0.00136516,0.000947744,peak εS=178.5; wall εS=302.3
D2,linac,D2_20260823_0835_Linac3.mca,0.0571014,0.0994603,1.742,0.00031983,0.000329029,peak εS=178.5; wall εS=302.3
D2,linac,D2_20260824_1440_linac_testhole.mca,0.169488,0.219909,1.297,0.000949315,0.00072749,peak εS=178.5; wall εS=302.3
d1,管理棟2階,d1_20260819_1520_管理棟2階.mca,0.127072,0.201708,1.587,0.00181403,0.00179575,peak εS=70.05; wall εS=112.3
d1,linac,d1_20260823_1509_Linac3.mca,0.0142974,0.0344409,2.409,0.000204104,0.000306619,peak εS=70.05; wall εS=112.3
d1,linac,d1_20260823_1509_linac_testhole.mca,0.0488073,0.407219,8.343,0.000696753,0.00362537,peak εS=70.05; wall εS=112.3
d1,linac,d1_20260823_1509_linac_testhole_error.mca,-0.274909,5.40087,nan,,0.0480826,wall εS=112.3
d1,linac,d1_20260825_1439_linac_testhole.mca,0.0540236,0.407955,7.551,0.000771218,0.00363192,peak εS=70.05; wall εS=112.3
d2,放射線棟BT,d2_20260819_1859_放射線棟BT.mca,0.0127003,0.0205441,1.618,0.000384122,0.000142771,peak εS=33.06; wall εS=143.9
d2,KEKB,d2_20260820_1939_KEKB.mca,0.00593356,0.0126544,2.133,0.000179462,8.79417e-05,peak εS=33.06; wall εS=143.9
d2,linac,d2_20260821_080725_linac.mca,0.00762503,0.114352,15,0.00023062,0.000794688,peak εS=33.06; wall εS=143.9
d2,linac_IRON,d2_20260821_170219_linacIRON.mca,0.0461143,0.0744347,1.614,0.00139474,0.000517285,peak εS=33.06; wall εS=143.9
d2,地上,d2_20260822_155046_地上.mca,0.0558675,0.189511,3.392,0.00168972,0.00131701,peak εS=33.06; wall εS=143.9
d2,linac,d2_20260823_0834_Linac3.mca,0.00877015,0.0239585,2.732,0.000265255,0.0001665,peak εS=33.06; wall εS=143.9
