id,場所,シリアル,live_s,wall_lo,wall_hi,wall_peak,wall_e_lo_kev,wall_e_hi_kev,wall_kev_per_ch,wall_counts,wall_cps,wall_bg_counts,wall_bg_cps,wall_net_counts,wall_net_cps,wall_net_cps_err,wall_net_valid,wall_warning,wall_bg_mode,wall_sb_hi
D1_20260818_1552_kanri2f,D1_20260818_1552_管理棟2階,1715,1335.366,86,366,345,191.0,764.0,2.214492753623188,1028.0,0.7698263996537279,220.9241379310345,0.16544088881328003,807.0758620689655,0.6043855108404479,0.026464745093690012,1,,sideband_right,367–511
D1_20260818_1730_linac,D1_20260818_1730_linac,1715,4208.884,85,366,342,191.0,764.0,2.2339181286549707,512.0,0.12164744858732149,77.79310344827586,0.018483071390961562,434.2068965517241,0.10316437719635992,0.005770094003880594,1,,sideband_right,367–511
d1_20260819_1520_kanri2f,d1_20260819_1520_管理棟2階,2162,76826.197,97,408,390,191.0,764.0,1.958974358974359,15641.0,0.2035894084409775,0.0,0.0,15641.0,0.2035894084409775,0.0016278820052017314,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,409–511
D1_20260819_0832_kanri2f,D1_20260819_0832_管理棟2階,1715,52246.972,85,366,343,191.0,764.0,2.227405247813411,41810.0,0.800237763061178,7862.937931034483,0.1504955718971519,33947.06206896552,0.6497421911640261,0.00426578338064977,1,,sideband_right,367–511
D1_20260819_1344_kanri1f,D1_20260819_1344_管理棟1階,1715,17482.328,85,366,340,191.0,764.0,2.2470588235294118,10230.0,0.5851623422235299,1886.4827586206895,0.1079079833429901,8343.51724137931,0.4772543588805398,0.00629635230117418,1,,sideband_right,367–511
D1_20260819_1530_ground,D1_20260819_1530_地上,1715,4748.053,85,366,340,191.0,764.0,2.2470588235294118,3089.0,0.650582459799838,519.2689655172413,0.10936461019227067,2569.731034482759,0.5412178496075674,0.012651263269814516,1,,sideband_right,367–511
D1_20260819_1854_hoshasenBT,D1_20260819_1854_放射線棟BT,1715,9583.863,99,412,396,191.0,764.0,1.9292929292929293,1437.0,0.14993953899382745,314.0,0.03276340657206807,1123.0,0.11717613242175938,0.004366188446747972,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,413–511
d2_20260819_1859_hoshasenBT,d2_20260819_1859_放射線棟BT,2162,9540.474,97,408,391,191.0,764.0,1.9539641943734016,177.0,0.01855253732676175,0.0,0.0,177.0,0.01855253732676175,0.0013944940991034692,1,,sideband_right,409–511
D1_20260820_0807_PF,D1_20260820_0807_PF,1715,45702.849,97,404,388,191.0,764.0,1.9690721649484537,14130.0,0.3091710978455632,3388.0,0.07413104596608408,10742.0,0.2350400518794791,0.002896002865663952,1,"アンプD/d取り違え補正: rebin×1.6033 (peak 242→388, 参照=D2_20260822_115234_PF.mca); 平坦部背景に切替（ピーク上端・側帯不可）",plateau,405–511
D1_20260820_1939_KEKB,D1_20260820_1939_KEKB,1715,39007.479,96,401,385,191.0,764.0,1.9844155844155844,2583.0,0.06621807064229913,612.0,0.015689298967513383,1971.0,0.05052877167478575,0.0014490639357711457,1,平坦部背景に切替（ピーク上端・側帯不可）,plateau,402–511
