検出器,地点,filename,シリアル,NET_CPS_191_764keV,NET_CPS_191_764keV_err,peak_ROI_net_CPS,peak_ROI_net_CPS_err,相対_基準地点,相対フラックス,相対フラックス_err,相対_D1地上,相対_D1地上_err,絶対phi_n_cm2_s,絶対phi_err,備考
D1,地上,D1_20260819_1530_地上.mca,1715,0.541218,0.0126513,0.433041,0.0105557,地上,1,0.02338,1,0.02338,0.00131715,3.07892e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,1715,0.649742,0.00426578,0.533573,0.00357083,地上,1.201,0.007882,1.201,0.007882,0.00158127,1.03816e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,1715,0.477254,0.00629635,0.383008,0.0052488,地上,0.8818,0.01163,0.8818,0.01163,0.00116149,1.53233e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,testhole,D1_20260823_1510_linac_testhole.mca,1715,0.190453,0.00466642,0.124426,0.00304334,地上,0.3519,0.008622,0.3519,0.008622,0.000463503,1.13566e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,PF,D1_20260820_0807_PF.mca,1715,0.23504,0.002896,0.200659,0.00236464,地上,0.4343,0.005351,0.4343,0.005351,0.000572013,7.04795e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,linac,D1_20260823_1510_Linac3.mca,1715,0.113983,0.00267778,0.0586696,0.00176894,地上,0.2106,0.004948,0.2106,0.004948,0.000277399,6.51686e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,PS,D1_20260823_1510_PS.mca,1715,0.0550009,0.00118076,0.0254079,0.000695076,地上,0.1016,0.002182,0.1016,0.002182,0.000133855,2.87359e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,1715,0.117176,0.00436619,0.0775888,0.00336558,地上,0.2165,0.008067,0.2165,0.008067,0.000285169,1.06259e-05,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D1,KEKB,D1_20260820_1939_KEKB.mca,1715,0.0505288,0.00144906,0.0332842,0.00107478,地上,0.09336,0.002677,0.09336,0.002677,0.000122971,3.52656e-06,"絶対φ=NET/(εS_wall=410.9,メーカー450×d1窓比); 相対基準=地上"
D2,地上,D2_20260822_155048_地上.mca,1715,0.286488,0.00686949,0.243731,0.00523006,地上,1,0.02398,0.7094,0.01701,0.000934405,2.24054e-05,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
D2,testhole,D2_20260824_1440_linac_testhole.mca,1715,0.190453,0.00466642,0.124426,0.00304334,地上,0.6648,0.01629,0.4716,0.01156,0.000621179,1.52199e-05,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
D2,PF,D2_20260822_115234_PF.mca,1715,0.145057,0.00244402,0.117435,0.00166709,地上,0.5063,0.008531,0.3592,0.006052,0.000473116,7.97136e-06,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
D2,linac,D2_20260823_0835_Linac3.mca,1715,0.0850455,0.00153391,0.0408726,0.00100348,地上,0.2969,0.005354,0.2106,0.003798,0.000277383,5.00296e-06,"絶対φ=NET/(εS_wall=306.6,D2/D1転送@linac); 相対基準=地上"
d1,管理棟2階,d1_20260819_1520_管理棟2階.mca,2162,0.203589,0.00162788,0.165288,0.00160622,管理棟2階,1,0.007996,1.376,0.01101,0.00181291,1.44958e-05,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d1,testhole,d1_20260823_1509_linac_testhole.mca,2162,0.113374,0.00244452,0.0499352,0.00245789,管理棟2階,0.5569,0.01201,0.7665,0.01653,0.00100956,2.17678e-05,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d1,linac,d1_20260823_1509_Linac3.mca,2162,0.0235761,0.00100621,0.0183026,0.00102329,管理棟2階,0.1158,0.004942,0.1594,0.006803,0.000209939,8.95998e-06,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d1,PS,d1_20260823_1509_PS.mca,2162,0.0164385,0.000462368,0.01075,0.00048126,管理棟2階,0.08074,0.002271,0.1111,0.003126,0.00014638,4.11726e-06,"絶対φ=NET/(εS_wall=112.3,メーカー123×パイル窓比); 相対基準=管理棟2階"
d2,地上,d2_20260822_155046_地上.mca,2162,0.109626,0.00300938,0.0604332,0.00307385,地上,1,0.02745,0.6102,0.01675,0.000803707,2.20629e-05,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
d2,linac,d2_20260823_0834_Linac3.mca,2162,0.0128255,0.000501926,0.0090115,0.000514582,地上,0.117,0.004579,0.07139,0.002794,9.40289e-05,3.67981e-06,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
d2,放射線棟BT,d2_20260819_1859_放射線棟BT.mca,2162,0.0185525,0.00139449,0.0155338,0.00137386,地上,0.1692,0.01272,0.1033,0.007762,0.000136016,1.02236e-05,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
d2,KEKB,d2_20260820_1939_KEKB.mca,2162,0.00922181,0.000486032,0.00749282,0.000481622,地上,0.08412,0.004434,0.05133,0.002705,6.76086e-05,3.56328e-06,"絶対φ=NET/(εS_wall=136.4,d2/D1転送@地上); 相対基準=地上"
