検出器,地点,filename,peak_net_cps,wall_net_cps,ratio_wall_over_peak,phi_peak,phi_wall,備考
D1,管理棟2階,D1_20260818_1552_管理棟2階.mca,0.502234,0.604386,1.203,0.00195972,0.00147072,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260818_1730_linac.mca,0.068696,0.103164,1.502,0.000268051,0.000251042,peak εS=256.3; wall εS=410.9
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,0.533573,0.649742,1.218,0.002082,0.00158109,peak εS=256.3; wall εS=410.9
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,0.383008,0.477254,1.246,0.00149449,0.00116136,peak εS=256.3; wall εS=410.9
D1,地上,D1_20260819_1530_地上.mca,0.433041,0.541218,1.25,0.00168972,0.00131701,peak εS=256.3; wall εS=410.9
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,0.0775888,0.117176,1.51,0.000302751,0.000285139,peak εS=256.3; wall εS=410.9
D1,PF,D1_20260820_0807_PF.mca,0.200659,0.23504,1.171,0.000782969,0.000571951,peak εS=256.3; wall εS=410.9
D1,KEKB,D1_20260820_1939_KEKB.mca,0.0332842,0.0505288,1.518,0.000129875,0.000122958,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260823_1510_Linac3.mca,0.0586696,0.113983,1.943,0.000228929,0.000277369,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260823_1510_linac_testhole.mca,0.124426,0.190453,1.531,0.000485509,0.000463453,peak εS=256.3; wall εS=410.9
D1,linac,D1_20260823_1510_linac_testhole_error.mca,0.124344,0.190748,1.534,0.000485188,0.000464169,peak εS=256.3; wall εS=410.9
D2,linac,D2_20260821_080728_linac.mca,0.0447271,0.0749251,1.675,0.000250518,0.000244362,peak εS=178.5; wall εS=306.6
D2,linac_IRON,D2_20260821_170217_linacIRON.mca,0.187432,0.215983,1.152,0.00104981,0.000704413,peak εS=178.5; wall εS=306.6
D2,PF,D2_20260822_115234_PF.mca,0.117435,0.145057,1.235,0.000657756,0.000473093,peak εS=178.5; wall εS=306.6
D2,地上,D2_20260822_155048_地上.mca,0.243731,0.286488,1.175,0.00136514,0.000934359,peak εS=178.5; wall εS=306.6
D2,linac,D2_20260823_0835_Linac3.mca,0.0408726,0.0850455,2.081,0.000228929,0.000277369,peak εS=178.5; wall εS=306.6
D2,linac,D2_20260824_1440_linac_testhole.mca,0.124426,0.190453,1.531,0.000696913,0.000621149,peak εS=178.5; wall εS=306.6
d1,管理棟2階,d1_20260819_1520_管理棟2階.mca,0.127072,0.201708,1.587,0.00181403,0.00179575,peak εS=70.05; wall εS=112.3
d1,linac,d1_20260823_1509_Linac3.mca,0.0139109,0.0340544,2.448,0.000198587,0.000303178,peak εS=70.05; wall εS=112.3
d1,linac,d1_20260823_1509_linac_testhole.mca,0.0383712,0.396783,10.34,0.000547771,0.00353246,peak εS=70.05; wall εS=112.3
d1,linac,d1_20260823_1509_linac_testhole_error.mca,-0.274909,5.40087,nan,,0.0480826,wall εS=112.3
d1,linac,d1_20260825_1439_linac_testhole.mca,0.0476986,0.40163,8.42,0.000680926,0.00357561,peak εS=70.05; wall εS=112.3
d2,放射線棟BT,d2_20260819_1859_放射線棟BT.mca,0.0117569,0.0196007,1.667,0.000431524,0.000143668,peak εS=27.25; wall εS=136.4
d2,KEKB,d2_20260820_1939_KEKB.mca,0.00572863,0.0124494,2.173,0.000210263,9.12511e-05,peak εS=27.25; wall εS=136.4
d2,linac,d2_20260821_080725_linac.mca,0.00762503,0.114352,15,0.000279868,0.000838167,peak εS=27.25; wall εS=136.4
d2,linac_IRON,d2_20260821_170219_linacIRON.mca,0.0461143,0.0744347,1.614,0.00169257,0.000545587,peak εS=27.25; wall εS=136.4
d2,地上,d2_20260822_155046_地上.mca,0.0460367,0.17968,3.903,0.00168972,0.00131701,peak εS=27.25; wall εS=136.4
d2,linac,d2_20260823_0834_Linac3.mca,0.00682382,0.0220122,3.226,0.00025046,0.000161344,peak εS=27.25; wall εS=136.4
