channel,counts
0,8640282
1,5782
2,3693
3,2712
4,2096
5,490332
6,694241
7,630390
8,533802
9,460843
10,410236
11,376553
12,348852
13,325945
14,307478
15,292548
16,280552
17,266347
18,253031
19,241941
20,227741
21,215219
22,202981
23,191243
24,179292
25,170522
26,161444
27,153774
28,145725
29,136869
30,128977
31,118785
32,109704
33,100110
34,91310
35,83048
36,75876
37,69024
38,62779
39,56831
40,51424
41,46857
42,42637
43,38691
44,35514
45,31844
46,28855
47,26337
48,23655
49,21749
50,19642
51,17750
52,16387
53,14845
54,13367
55,12216
56,11022
57,9925
58,9031
59,8209
60,7302
61,6758
62,5916
63,5423
64,4950
65,4392
66,4007
67,3606
68,3371
69,3087
70,2572
71,2429
72,2227
73,1949
74,1830
75,1619
76,1493
77,1327
78,1198
79,1062
80,961
81,891
82,823
83,712
84,670
85,553
86,547
87,449
88,422
89,406
90,308
91,304
92,262
93,259
94,206
95,183
96,159
97,179
98,140
99,125
100,121
101,106
102,93
103,80
104,83
105,88
106,63
107,49
108,47
109,46
110,48
111,38
112,35
113,26
114,35
115,25
116,24
117,17
118,12
119,14
120,14
121,23
122,9
123,10
124,11
125,18
126,9
127,9
128,7
129,15
130,6
131,9
132,10
133,5
134,5
135,9
136,6
137,7
138,6
139,3
140,1
141,7
142,6
143,6
144,5
145,4
146,4
147,4
148,5
149,3
150,4
151,5
152,5
153,7
154,0
155,7
156,2
157,5
158,5
159,2
160,3
161,2
162,4
163,0
164,1
165,3
166,3
167,4
168,4
169,2
170,5
171,4
172,6
173,1
174,4
175,3
176,1
177,6
178,4
179,3
180,7
181,1
182,3
183,3
184,1
185,5
186,6
187,4
188,5
189,5
190,4
191,1
192,3
193,3
194,1
195,0
196,1
197,6
198,1
199,1
200,5
201,1
202,3
203,3
204,4
205,4
206,6
207,2
208,1
209,6
210,4
211,1
212,5
213,2
214,2
215,5
216,8
217,3
218,2
219,1
220,2
221,2
222,6
223,3
224,0
225,3
226,6
227,3
228,7
229,2
230,1
231,1
232,0
233,4
234,2
235,1
236,3
237,1
238,1
239,4
240,1
241,3
242,0
243,1
244,6
245,4
246,2
247,2
248,7
249,8
250,3
251,2
252,1
253,3
254,2
255,4
256,3
257,5
258,3
259,1
260,4
261,4
262,2
263,4
264,4
265,4
266,3
267,5
268,3
269,5
270,2
271,4
272,3
273,3
274,1
275,1
276,0
277,5
278,3
279,3
280,3
281,4
282,1
283,12
284,2
285,1
286,3
287,2
288,4
289,2
290,1
291,1
292,4
293,3
294,5
295,5
296,5
297,4
298,4
299,4
300,3
301,2
302,5
303,7
304,4
305,3
306,4
307,4
308,3
309,4
310,1
311,2
312,1
313,6
314,2
315,2
316,3
317,6
318,4
319,1
320,6
321,7
322,3
323,5
324,4
325,10
326,4
327,9
328,15
329,7
330,11
331,11
332,11
333,18
334,32
335,29
336,22
337,43
338,31
339,32
340,42
341,47
342,45
343,42
344,43
345,45
346,43
347,35
348,35
349,41
350,27
351,47
352,37
353,31
354,33
355,22
356,23
357,13
358,7
359,14
360,7
361,4
362,8
363,9
364,8
365,14
366,12
367,6
368,7
369,8
370,5
371,4
372,8
373,3
374,4
375,2
376,4
377,4
378,6
379,4
380,2
381,4
382,3
383,1
384,4
385,3
386,4
387,5
388,3
389,1
390,4
391,6
392,2
393,2
394,0
395,2
396,1
397,0
398,1
399,1
400,1
401,0
402,3
403,0
404,4
405,3
406,2
407,1
408,1
409,3
410,4
411,2
412,2
413,0
414,3
415,5
416,1
417,1
418,1
419,1
420,0
421,2
422,1
423,1
424,1
425,4
426,3
427,0
428,1
429,1
430,1
431,2
432,4
433,2
434,1
435,1
436,1
437,3
438,1
439,3
440,2
441,4
442,1
443,2
444,2
445,0
446,5
447,2
448,0
449,3
450,3
451,2
452,0
453,0
454,2
455,5
456,4
457,1
458,0
459,3
460,3
461,1
462,1
463,3
464,2
465,0
466,1
467,2
468,0
469,2
470,1
471,3
472,3
473,1
474,1
475,2
476,1
477,1
478,2
479,2
480,1
481,2
482,0
483,1
484,1
485,2
486,2
487,0
488,2
489,1
490,2
491,1
492,3
493,0
494,1
495,1
496,2
497,1
498,2
499,3
500,3
501,3
502,1
503,1
504,2
505,1
506,1
507,7
508,2
509,0
510,3
511,1
