No,名称,層名,上端_m,下端_m,厚さ_m,密度_g_cm3,備考
1,KEK標準（地質予測）,関東ローム,0,3.0,3.0,1.35,KEK地下測定_地質予測.xlsx 準拠
1,KEK標準（地質予測）,常総粘土,3.0,5.0,2.0,1.65,KEK地下測定_地質予測.xlsx 準拠
1,KEK標準（地質予測）,下総層群,5.0,10.0,5.0,1.85,KEK地下測定_地質予測.xlsx 準拠
2,tsukuba推奨,関東ローム,0,3.5,3.5,1.35,等価コンクリート換算の既定プロファイル
2,tsukuba推奨,常総粘土,3.5,5.5,2.0,1.65,等価コンクリート換算の既定プロファイル
2,tsukuba推奨,下総層群,5.5,10.0,4.5,1.85,等価コンクリート換算の既定プロファイル
3,教材2層モデル,関東ローム,0,4.0,4.0,1.35,ローム≤4m / 以深は常総
3,教材2層モデル,常総粘土,4.0,10.0,6.0,1.65,ローム≤4m / 以深は常総
4,薄い常総（15cm）,関東ローム,0,3.0,3.0,1.35,筑波台地の下限例（常総15–400cm）
4,薄い常総（15cm）,常総粘土,3.0,3.15,0.1499999999999999,1.65,筑波台地の下限例（常総15–400cm）
4,薄い常総（15cm）,下総層群,3.15,10.0,6.85,1.85,筑波台地の下限例（常総15–400cm）
5,厚い常総（4m）,関東ローム,0,2.0,2.0,1.35,常総が厚い地点の代表
5,厚い常総（4m）,常総粘土,2.0,6.0,4.0,1.65,常総が厚い地点の代表
5,厚い常総（4m）,下総層群,6.0,10.0,4.0,1.85,常総が厚い地点の代表
6,厚いローム（5m）,関東ローム,0,5.0,5.0,1.35,表ロームが厚い地点
6,厚いローム（5m）,常総粘土,5.0,6.5,1.5,1.65,表ロームが厚い地点
6,厚いローム（5m）,下総層群,6.5,10.0,3.5,1.85,表ロームが厚い地点
7,旭B1参考（造成地）,舗装・砕石,0,0.35,0.35,2.2,KuniJiban つくば市旭 B1（KEK外・参考）
7,旭B1参考（造成地）,埋土,0.35,5.55,5.2,1.55,KuniJiban つくば市旭 B1（KEK外・参考）
7,旭B1参考（造成地）,凝灰質粘土,5.55,7.7,2.1500000000000004,1.65,KuniJiban つくば市旭 B1（KEK外・参考）
7,旭B1参考（造成地）,下総層群,7.7,10.0,2.3,1.85,KuniJiban つくば市旭 B1（KEK外・参考）
8,早く下総到達,関東ローム,0,1.5,1.5,1.35,ローム・常総が薄い地点
8,早く下総到達,常総粘土,1.5,2.0,0.5,1.65,ローム・常総が薄い地点
8,早く下総到達,下総層群,2.0,10.0,8.0,1.85,ローム・常総が薄い地点
9,KEKB測定相当,関東ローム,0,3.5,3.5,1.35,覆土6.7m + コンクリ80cm（地層のみ）
9,KEKB測定相当,常総粘土,3.5,5.5,2.0,1.65,覆土6.7m + コンクリ80cm（地層のみ）
9,KEKB測定相当,下総層群,5.5,10.0,4.5,1.85,覆土6.7m + コンクリ80cm（地層のみ）
10,区域平均,関東ローム,0,3.0,3.0,1.35,ローム3m + 常総1.5m + 下総5.5m
10,区域平均,常総粘土,3.0,4.5,1.5,1.65,ローム3m + 常総1.5m + 下総5.5m
10,区域平均,下総層群,4.5,10.0,5.5,1.85,ローム3m + 常総1.5m + 下総5.5m
