channel,counts_管理棟2F,cps_管理棟2F,cps_err_管理棟2F,in_auto_ROI_管理棟2F,counts_linac,cps_linac,cps_err_linac,in_auto_ROI_linac,counts_終夜,cps_終夜,cps_err_終夜,in_auto_ROI_終夜
311,2,0.0014977167308438287,0.0010590456566762184,0,2,0.00047518534604422456,0.0003360067805083474,1,55,0.0010526925847492176,0.00014194503917079945,0
312,1,0.0007488583654219143,0.0007488583654219143,0,1,0.00023759267302211228,0.00023759267302211228,1,54,0.0010335527195719592,0.00014064871028984292,0
313,2,0.0014977167308438287,0.0010590456566762184,0,1,0.00023759267302211228,0.00023759267302211228,1,54,0.0010335527195719592,0.00014064871028984292,0
314,2,0.0014977167308438287,0.0010590456566762184,1,0,0.0,0,1,56,0.001071832449926476,0.0001432296358446932,1
315,1,0.0007488583654219143,0.0007488583654219143,1,3,0.0007127780190663368,0.00041152258118039775,1,87,0.0016651682704214897,0.000178524777533305,1
316,0,0.0,0,1,2,0.00047518534604422456,0.0003360067805083474,1,110,0.0021053851694984352,0.00020074059950692482,1
317,4,0.0029954334616876573,0.0014977167308438287,1,0,0.0,0,1,80,0.0015311892141806802,0.0001711921584661243,1
318,3,0.002246575096265743,0.001297060736583736,1,0,0.0,0,1,108,0.0020671054391439183,0.00019890731362218013,1
319,2,0.0014977167308438287,0.0010590456566762184,1,0,0.0,0,1,130,0.0024881824730436054,0.00021822803914820898,1
320,3,0.002246575096265743,0.001297060736583736,1,3,0.0007127780190663368,0.00041152258118039775,1,145,0.002775280450702483,0.0002304744967572914,1
321,4,0.0029954334616876573,0.0014977167308438287,1,4,0.0009503706920884491,0.00047518534604422456,1,157,0.0030049588328295847,0.00023982182328464256,1
322,6,0.004493150192531486,0.001834320884898356,1,6,0.0014255560381326736,0.0005819808155281015,1,182,0.0034834554622610475,0.00025821089810203814,1
323,4,0.0029954334616876573,0.0014977167308438287,1,3,0.0007127780190663368,0.00041152258118039775,1,252,0.004823246024669142,0.0003038359403179871,1
324,9,0.0067397252887972285,0.002246575096265743,1,2,0.00047518534604422456,0.0003360067805083474,1,288,0.005512281171050448,0.00032481428298805794,1
325,6,0.004493150192531486,0.001834320884898356,1,4,0.0009503706920884491,0.00047518534604422456,1,328,0.006277875778140788,0.00034663770134420104,1
326,9,0.0067397252887972285,0.002246575096265743,1,7,0.0016631487111547858,0.0006286111261475942,1,339,0.006488414295090632,0.00035240229117051926,1
327,11,0.008237442019641057,0.002483682219223344,1,10,0.0023759267302211227,0.0007513340021175161,1,403,0.007713365666435176,0.0003842301119361469,1
328,10,0.007488583654219143,0.0023680980796039284,1,8,0.0019007413841768983,0.0006720135610166947,1,489,0.009359394071679407,0.0004232464301949591,1
329,9,0.0067397252887972285,0.002246575096265743,1,8,0.0019007413841768983,0.0006720135610166947,1,584,0.011177681263518965,0.0004625357417304326,1
330,14,0.0104840171159068,0.002801971434628365,1,3,0.0007127780190663368,0.00041152258118039775,1,634,0.01213467452238189,0.0004819294910340133,1
331,16,0.01198173384675063,0.0029954334616876573,1,9,0.0021383340571990103,0.0007127780190663368,1,728,0.01393382184904419,0.0005164217962040763,1
