id,場所,シリアル,live_s,wall_lo,wall_hi,wall_peak,wall_e_lo_kev,wall_e_hi_kev,wall_kev_per_ch,wall_counts,wall_cps,wall_bg_counts,wall_bg_cps,wall_net_counts,wall_net_cps,wall_net_cps_err,wall_net_valid,wall_warning,wall_bg_mode,wall_sb_hi
D1_20260818_1552_kanri2f,D1_20260818_1552_管理棟2階,1715,1335.366,87,366,343,196.0,764.0,2.227405247813411,1023.0,0.7660821078266183,522.6666666666666,0.3914033056605205,500.33333333333337,0.37467880216609784,0.029441342271433333,1,,sideband_right,367–381
D1_20260818_1730_linac,D1_20260818_1730_linac,1715,4208.884,87,366,341,196.0,764.0,2.2404692082111435,496.0,0.11784596581896768,205.33333333333331,0.048785695527207046,290.6666666666667,0.06906027029176064,0.00629209518597367,1,,sideband_right,367–381
d1_20260819_1520_kanri2f,d1_20260819_1520_管理棟2階,2162,76826.197,99,408,389,196.0,764.0,1.9640102827763497,15453.0,0.2011423264905329,82.66666666666667,0.0010760218505501016,15370.333333333334,0.20006630463998282,0.0016223913107780725,1,,sideband_right,409–423
D1_20260819_0832_kanri2f,D1_20260819_0832_管理棟2階,1715,52246.972,87,366,342,196.0,764.0,2.2339181286549707,41542.0,0.7951082791936727,22568.0,0.43194847732036984,18974.0,0.3631598018733028,0.004846204791847213,1,,sideband_right,367–381
D1_20260819_1344_kanri1f,D1_20260819_1344_管理棟1階,1715,17482.328,86,366,339,196.0,764.0,2.253687315634218,10196.0,0.5832175211447811,5620.0,0.32146748419318066,4576.0,0.2617500369516005,0.007193646028040425,1,,sideband_right,367–381
D1_20260819_1530_ground,D1_20260819_1530_地上,1715,4748.053,87,366,340,196.0,764.0,2.2470588235294118,3072.0,0.6470020448381684,1120.0,0.23588616218058223,1952.0,0.4111158826575862,0.013636253897114162,1,,sideband_right,367–381
D1_20260819_1854_hoshasenBT,D1_20260819_1854_放射線棟BT,1715,9583.863,99,404,388,196.0,764.0,1.9690721649484537,1370.0,0.14294862103099765,1876.8000000000002,0.1958291766065521,-506.8000000000002,-0.052880555575554475,0.00594548341169081,0,NET<=0（壁効果窓または右側帯背景を確認）,sideband_right,405–419
d2_20260819_1859_hoshasenBT,d2_20260819_1859_放射線棟BT,2162,9540.474,98,408,384,196.0,764.0,1.9895833333333333,186.0,0.019495886682359808,0.0,0.0,186.0,0.019495886682359808,0.0014295077683756441,1,,sideband_right,409–423
d2_20260820_0807_PF,d2_20260820_0807_PF,2162,45746.327,129,511,503,196.0,764.0,1.5188866799204772,1000.0,0.021859678483039744,0.0,0.0,1000.0,0.021859678483039744,0.0006912637292537998,1,右側帯が取れず GROSS を NET として使用,none_gross,511–511
D1_20260820_0807_PF,D1_20260820_0807_PF,1715,45702.849,62,366,242,196.0,764.0,3.15702479338843,16168.0,0.35376350389009664,366.0,0.008008253489842613,15802.0,0.345755250400254,0.002813492053847173,1,,sideband_right,367–381
D1_20260820_1939_KEKB,D1_20260820_1939_KEKB,1715,39007.479,99,403,387,196.0,764.0,1.9741602067183464,2461.0,0.06309046529256608,2318.0,0.05942450164492814,143.0,0.003665963647637931,0.0017722322360493347,1,,sideband_right,404–418
d2_20260820_1939_KEKB,d2_20260820_1939_KEKB,2162,39037.899,100,408,391,196.0,764.0,1.9539641943734016,462.0,0.011834653294225696,20.6,0.0005276923330325744,441.4,0.011306960961193121,0.0005627392697498464,1,,sideband_right,409–423
D2_20260821_080728_linac,D2_20260821_080728_linac,1715,42577.495,99,403,387,196.0,764.0,1.9741602067183464,5170.0,0.12142564986502845,4371.666666666667,0.10267552533719203,798.333333333333,0.01875012452783643,0.0022942038999855994,1,,sideband_right,404–418
d2_20260821_080725_linac,d2_20260821_080725_linac,2162,41897.088,100,408,392,196.0,764.0,1.9489795918367347,8616.0,0.20564675043764377,4635.0,0.11062821358849569,3981.0,0.09501853684914807,0.002747517631122408,1,,sideband_right,409–423
D2_20260821_170217_linacIRON,D2_20260821_170217_linacIRON,1715,30863.476,99,404,388,196.0,764.0,1.9690721649484537,9470.0,0.30683517306994196,8731.2,0.28289749346444326,738.7999999999993,0.023937679605498724,0.0043712452562022636,1,,sideband_right,405–419
d2_20260821_170219_linacIRON,d2_20260821_170219_linacIRON,2162,30086.826,102,415,399,196.0,764.0,1.9147869674185463,2242.0,0.07451766430928938,20.933333333333334,0.0006957640973272931,2221.0666666666666,0.0738219002119621,0.0015811006071855098,1,,sideband_right,416–430
d2_20260822_115232_PF,d2_20260822_115232_PF,2162,61368.452,101,410,394,196.0,764.0,1.9390862944162437,21366.0,0.3481593441529208,9506.666666666668,0.15491129981031082,11859.333333333332,0.19324804434260998,0.002863135510756436,1,,sideband_right,411–425
D2_20260822_115234_PF,D2_20260822_115234_PF,1715,62847.949,99,404,388,196.0,764.0,1.9690721649484537,16258.0,0.25868783721168054,16054.800000000001,0.25545463703198973,203.1999999999989,0.0032332001796908107,0.0028601985815227397,1,,sideband_right,405–419
d2_20260822_155046_ground,d2_20260822_155046_地上,2162,12104.829,99,408,387,196.0,764.0,1.9741602067183464,3361.0,0.2776577843437524,1570.6666666666665,0.1297553783425331,1790.3333333333335,0.14790240600121932,0.005801471975234146,1,,sideband_right,409–423
D2_20260822_155048_ground,D2_20260822_155048_地上,1715,12301.957,98,401,385,196.0,764.0,1.9844155844155844,5151.0,0.41871386804554755,6161.066666666667,0.5008200456778272,-1010.0666666666666,-0.08210617763227969,0.008645632545233322,0,NET<=0（壁効果窓または右側帯背景を確認）,sideband_right,402–416
