検出器,地点,filename,シリアル,NET_CPS_191_764keV,NET_CPS_191_764keV_err,peak_ROI_net_CPS,peak_ROI_net_CPS_err,相対_基準地点,相対フラックス,相対フラックス_err,相対_D1地上,相対_D1地上_err,絶対phi_n_cm2_s,絶対phi_err,備考
D1,地上,D1_20260819_1530_地上.mca,1715,0.541218,0.0126513,0.433041,0.0105557,地上,1,0.02438,1,0.02438,0.00168959,4.11848e-05,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,1715,0.649742,0.00426578,0.533573,0.00357083,地上,1.232,0.008246,1.232,0.008246,0.00208183,1.39322e-05,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,1715,0.477254,0.00629635,0.383008,0.0052488,地上,0.8845,0.01212,0.8845,0.01212,0.00149437,2.04791e-05,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,testhole,D1_20260823_1510_linac_testhole.mca,1715,0.280791,0.0053848,0.252447,0.00394809,地上,0.583,0.009117,0.583,0.009117,0.000984967,1.54042e-05,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,PF,D1_20260820_0807_PF.mca,1715,0.23504,0.002896,0.200659,0.00236464,地上,0.4634,0.005461,0.4634,0.005461,0.000782905,9.22608e-06,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,linac,D1_20260823_1510_Linac3.mca,1715,0.16893,0.00308813,0.118525,0.00238885,地上,0.2737,0.005516,0.2737,0.005516,0.000462446,9.32052e-06,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,PS,D1_20260823_1510_PS.mca,1715,0.0797456,0.00130735,0.0535384,0.000917168,地上,0.1236,0.002118,0.1236,0.002118,0.00020889,3.57849e-06,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,1715,0.136792,0.00459461,0.0985615,0.00367634,地上,0.2276,0.00849,0.2276,0.00849,0.000384555,1.43439e-05,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D1,KEKB,D1_20260820_1939_KEKB.mca,1715,0.0837788,0.00171819,0.069021,0.0014392,地上,0.1594,0.003323,0.1594,0.003323,0.000269298,5.61531e-06,"絶対φ=peak ROI NET/(εS_peak=256.3,メーカー450×d1窓比); 相対基準=地上"
D2,地上,D2_20260822_155048_地上.mca,1715,0.286488,0.00686949,0.243731,0.00523006,地上,1,0.02146,0.8054,0.01728,0.00136086,2.92019e-05,"絶対φ=peak ROI NET/(εS_peak=179.1,D2/D1転送@linac); 相対基準=地上"
