id,場所,filename,検出器,シリアル,NET_CPS_191_764keV,NET_CPS_191_764keV_err,peak_ROI_net_CPS,peak_ROI_net_CPS_err,epsilon_S_191_764_cm2,phi_191_764_n_cm2_s,phi_191_764_err,備考
D1_20260818_1552_kanri2f,D1_20260818_1552_管理棟2階,D1_20260818_1552_管理棟2階.mca,D1,1715,0.604386,0.0264647,0.502234,0.0217985,410.9,0.00147088,6.44068e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260818_1730_linac,D1_20260818_1730_linac,D1_20260818_1730_linac.mca,D1,1715,0.103164,0.00577009,0.068696,0.00455079,410.9,0.000251069,1.40426e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
d1_20260819_1520_kanri2f,d1_20260819_1520_管理棟2階,d1_20260819_1520_管理棟2階.mca,d1,2162,0.201708,0.00162635,0.127072,0.00140827,112.3,0.00179615,1.44822e-05,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
D1_20260819_0832_kanri2f,D1_20260819_0832_管理棟2階,D1_20260819_0832_管理棟2階.mca,D1,1715,0.649742,0.00426578,0.533573,0.00357083,410.9,0.00158127,1.03816e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260819_1344_kanri1f,D1_20260819_1344_管理棟1階,D1_20260819_1344_管理棟1階.mca,D1,1715,0.477254,0.00629635,0.383008,0.0052488,410.9,0.00116149,1.53233e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260819_1530_ground,D1_20260819_1530_地上,D1_20260819_1530_地上.mca,D1,1715,0.541218,0.0126513,0.433041,0.0105557,410.9,0.00131715,3.07892e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260819_1854_hoshasenBT,D1_20260819_1854_放射線棟BT,D1_20260819_1854_放射線棟BT.mca,D1,1715,0.117176,0.00436619,0.0775888,0.00336558,410.9,0.000285169,1.06259e-05,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
d2_20260819_1859_hoshasenBT,d2_20260819_1859_放射線棟BT,d2_20260819_1859_放射線棟BT.mca,d2,2162,0.0196007,0.00143335,0.0117569,0.00120349,132,0.000148449,1.08556e-05,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
D1_20260820_0807_PF,D1_20260820_0807_PF,D1_20260820_0807_PF.mca,D1,1715,0.23504,0.002896,0.200659,0.00236464,410.9,0.000572013,7.04795e-06,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260820_1939_KEKB,D1_20260820_1939_KEKB,D1_20260820_1939_KEKB.mca,D1,1715,0.0505288,0.00144906,0.0332842,0.00107478,410.9,0.000122971,3.52656e-06,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
d2_20260820_1939_KEKB,d2_20260820_1939_KEKB,d2_20260820_1939_KEKB.mca,d2,2162,0.0124494,0.000564718,0.00572863,0.000422756,132,9.42875e-05,4.27697e-06,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
D2_20260821_080728_linac,D2_20260821_080728_linac,D2_20260821_080728_linac.mca,D2,1715,0.0749251,0.00203507,0.0447271,0.00125024,306.6,0.000244389,6.63792e-06,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
d2_20260821_080725_linac,d2_20260821_080725_linac,d2_20260821_080725_linac.mca,d2,2162,0.113584,0.002711,0.0101558,0.00116257,132,0.000860247,2.05322e-05,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
D2_20260821_170217_linacIRON,D2_20260821_170217_linacIRON,D2_20260821_170217_linacIRON.mca,D2,1715,0.215983,0.00356968,0.187432,0.00284965,306.6,0.000704489,1.16435e-05,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
d2_20260821_170219_linacIRON,d2_20260821_170219_linacIRON,d2_20260821_170219_linacIRON.mca,d2,2162,0.0744347,0.00160866,0.0461143,0.00136011,132,0.000563742,1.21834e-05,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
D2_20260822_115234_PF,D2_20260822_115234_PF,D2_20260822_115234_PF.mca,D2,1715,0.145057,0.00244402,0.117435,0.00166709,306.6,0.000473144,7.97184e-06,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
d2_20260822_155046_ground,d2_20260822_155046_地上,d2_20260822_155046_地上.mca,d2,2162,0.173913,0.00568571,0.0537527,0.00313199,132,0.00131715,4.30615e-05,d2 転送較正（地上 d2/D1×D1εS_wall）· 191–764 keV
D2_20260822_155048_ground,D2_20260822_155048_地上,D2_20260822_155048_地上.mca,D2,1715,0.286488,0.00686949,0.243731,0.00523006,306.6,0.000934461,2.24067e-05,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
D1_20260822_1633__kanri_30cm,D1_20260822_1633_熱中性子管理棟-30cm,D1_20260822_1633_熱中性子管理棟-30cm.mca,D1,1715,7161.94,26.7187,1633.75,17.0775,410.9,17.4299,0.0650247,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260822_1644__kanri2_80cm,D1_20260822_1644_熱中性子管理棟2-80cm,D1_20260822_1644_熱中性子管理棟2-80cm.mca,D1,1715,2874.79,10.8624,1160.74,7.97297,410.9,6.99634,0.0264355,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260822_1650__kanri_gain500,D1_20260822_1650_熱中性子管理棟-gain500,D1_20260822_1650_熱中性子管理棟-gain500.mca,D1,1715,4107.01,8.94309,1454.74,7.4301,410.9,9.99517,0.0217646,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260822_1653__kanri_gain750_corse_gain_200_100,D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更,D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更.mca,D1,1715,3796.44,7.9677,-4.47454,0.421299,410.9,9.23933,0.0193908,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
D1_20260822_1653__kanri_corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750,D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750.mca,D1,1715,4008.82,11.3314,9.52149,2.28241,410.9,9.75619,0.0275769,D1 メーカー450 cps/nv × d1 wall/total · 191–764 keV
d1_20260822_1702__kanri_80cm,d1_20260822_1702_熱中性子管理棟-80cm,d1_20260822_1702_熱中性子管理棟-80cm.mca,d1,2162,827.08,3.72471,513.425,3.19718,112.3,7.36492,0.0331675,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
d1_20260822_1705__kanri_30cm,d1_20260822_1705_熱中性子管理棟-30cm,d1_20260822_1705_熱中性子管理棟-30cm.mca,d1,2162,1628.33,5.19077,1020.33,4.3998,112.3,14.4998,0.0462223,d1 熱中性子絶対較正（黒鉛 30/80 cm）· 191–764 keV
D2_20260822_1720__kanri,D2_20260822_1720_熱中性子管理棟,D2_20260822_1720_熱中性子管理棟.mca,D2,1715,284.338,1.86091,246.126,1.52489,306.6,0.927446,0.00606988,D2 転送較正（linac D2/D1×D1εS_wall；地上 wall NET≤0）· 191–764 keV
