検出器,地点,filename,peak_net_cps,wall_net_cps,wall_gross_cps,ratio_wall_over_peak,phi_peak,phi_wall,備考
D1,管理棟2階,D1_20260818_1552_管理棟2階.mca,0.502234,0.377125,0.771324,0.7509,0.00238139,0.00280267,peak εS=210.9; wall εS=134.6
D1,linac,D1_20260818_1730_linac.mca,0.068696,0.0725133,0.121647,1.056,0.000325728,0.000538895,peak εS=210.9; wall εS=134.6
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,0.533573,0.365204,0.800238,0.6844,0.00252998,0.00271408,peak εS=210.9; wall εS=134.6
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,0.383008,0.263924,0.587679,0.6891,0.00181606,0.0019614,peak εS=210.9; wall εS=134.6
D1,地上,D1_20260819_1530_地上.mca,0.433041,0.413011,0.650582,0.9537,0.0020533,0.00306937,peak εS=210.9; wall εS=134.6
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,0.0822007,-0.0489434,0.148166,-0.5954,0.000389761,,peak εS=210.9
D1,PF,D1_20260820_0807_PF.mca,0.22349,0.35288,0.36094,1.579,0.0010597,0.00262249,peak εS=210.9; wall εS=134.6
D1,KEKB,D1_20260820_1939_KEKB.mca,0.0335739,0.00705506,0.0670641,0.2101,0.000159193,5.24309e-05,peak εS=210.9; wall εS=134.6
D1,linac,D1_20260823_1510_Linac3.mca,0.0586366,0.034561,0.136461,0.5894,0.00027803,0.000256846,peak εS=210.9; wall εS=134.6
D2,linac,D2_20260821_080728_linac.mca,0.0443716,0.0231891,0.126875,0.5226,,,絶対φなし
D2,linac_IRON,D2_20260821_170217_linacIRON.mca,0.189322,0.0264628,0.311209,0.1398,,,絶対φなし
D2,PF,D2_20260822_115234_PF.mca,0.118367,0.00449126,0.261616,0.03794,,,絶対φなし
D2,地上,D2_20260822_155048_地上.mca,0.246798,-0.0832063,0.420909,-0.3371,,,絶対φなし
D2,linac,D2_20260823_0835_Linac3.mca,0.0409701,0.0394434,0.0979194,0.9627,,,絶対φなし
d1,管理棟2階,d1_20260819_1520_管理棟2階.mca,0.127072,0.201374,0.202457,1.585,0.00253031,0.00271408,peak εS=50.22; wall εS=74.2
d1,linac,d1_20260823_1509_Linac3.mca,0.0139109,0.0340544,0.0340544,2.448,0.000277,0.000458979,peak εS=50.22; wall εS=74.2
d2,放射線棟BT,d2_20260819_1859_放射線棟BT.mca,0.0117569,0.0201248,0.0201248,1.712,,,絶対φなし
d2,PF,d2_20260820_0807_PF.mca,0.000896247,0.0242642,0.0242642,27.07,,,絶対φなし
d2,KEKB,d2_20260820_1939_KEKB.mca,0.00574826,0.0122496,0.0127825,2.131,,,絶対φなし
d2,linac,d2_20260821_080725_linac.mca,0.0101558,0.097835,0.209179,9.633,,,絶対φなし
d2,linac_IRON,d2_20260821_170219_linacIRON.mca,0.0467075,0.0751115,0.0758139,1.608,,,絶対φなし
d2,PF,d2_20260822_115232_PF.mca,0.0290583,0.19887,0.35528,6.844,,,絶対φなし
d2,地上,d2_20260822_155046_地上.mca,0.0537527,0.151603,0.282614,2.82,,,絶対φなし
d2,linac,d2_20260823_0834_Linac3.mca,0.00682382,0.0212539,0.0212539,3.115,,,絶対φなし
