layer_id,facility,part,source_point,eval_point,material,thickness,unit,source_ref,notes,color
SH001,BT,LER_ring,S1,E1,コンクリート,50,cm,BT.pdf 表2.1 p.34,LER側 S1→E1,#95a5a6
SH002,BT,LER_ring,S1,E1,土,640,cm,BT.pdf 表2.1 p.34,LER側 S1→E1,#8B6914
SH003,BT,LER_ring,S2,E2,コンクリート,50,cm,BT.pdf 表2.1 p.34,,#95a5a6
SH004,BT,LER_ring,S2,E2,土,480,cm,BT.pdf 表2.1 p.34,,#8B6914
SH005,BT,LER_ring,S3,E3,コンクリート,40,cm,BT.pdf 表2.1 p.34,,#95a5a6
SH006,BT,LER_ring,S3,E3,土,213,cm,BT.pdf 表2.1 p.34,,#8B6914
SH007,BT,HER_ring,S1,E1,コンクリート,50,cm,BT.pdf 表2.1 p.34,HER側,#95a5a6
SH008,BT,HER_ring,S1,E1,土,640,cm,BT.pdf 表2.1 p.34,,#8B6914
SH009,BT,HER_ring,S3,E3,コンクリート,40,cm,BT.pdf 表2.1 p.34,,#95a5a6
SH010,BT,HER_ring,S7,E7,コンクリート,43,cm,BT.pdf 表2.1 p.34,,#95a5a6
SH011,BT,HER_ring,S8,E8,コンクリート,100,cm,BT.pdf 表2.1 p.34,距離22.5m+土15m,#95a5a6
SH012,BT,HER_ring,S10,E10,コンクリート,50,cm,BT.pdf 表2.1 p.34,,#95a5a6
SH013,BT,HER_ring,S11,E11,鉄,3,cm,BT.pdf 表2.1 p.34,,#566573
SH014,BT,HER_ring,S12,E12,コンクリート,200,cm,BT.pdf 表2.1 p.34,距離35m,#95a5a6
SH015,BT,PF-AR,S15,E15A,コンクリート,80,cm,BT.pdf 表2.1 p.34,図1.18,#95a5a6
SH016,BT,LER_ring,S4,E4,コンクリート,100,cm,BT.pdf 表2.2 p.35,,#95a5a6
SH017,BT,LER_ring,S4,E4,土,50,cm,BT.pdf 表2.2 p.35,,#8B6914
SH018,BT,LER_ring,S5,E5,コンクリート,60,cm,BT.pdf 表2.2 p.35,,#95a5a6
SH019,BT,LER_ring,S5,E5,土,90,cm,BT.pdf 表2.2 p.35,,#8B6914
SH020,BT,LER_ring,S6,E6,コンクリート,60,cm,BT.pdf 表2.2 p.35,,#95a5a6
SH021,BT,LER_ring,S6,E6,土,220,cm,BT.pdf 表2.2 p.35,,#8B6914
SH022,BT,HER_ring,S13,E13,コンクリート,65,cm,BT.pdf 表2.2 p.35,図1.15,#95a5a6
SH023,BT,HER_ring,S13,E13,土,705,cm,BT.pdf 表2.2 p.35,,#8B6914
SH024,BT,HER_ring,S13,E13,鉄,24,cm,BT.pdf 表2.2 p.35,,#566573
SH025,BT,LER_ring,S14,E14,コンクリート,65,cm,BT.pdf 表2.2 p.35,,#95a5a6
SH026,BT,LER_ring,S14,E14,土,705,cm,BT.pdf 表2.2 p.35,,#8B6914
