facility,pdf,concrete_class,rho_physical_g_cm3,rho_design_g_cm3,mu_photon_cm-1,composition_note,confidence,source_ref
共通_KEK標準,—,普通コンクリート,2.35,2.3,0.053,"ポルトランドセメント+砂+砕石の普通RC。元素はH·O·Si·Ca主体（NIST Ordinary Concrete系）。申請書は安全側ρ=2.3でμを補正",high,"PF.pdf p.34 / Linac.pdf p.68: KEK標準密度≈2.35 g/cm³"
PF,PF.pdf,普通コンクリート（リング遮蔽）,2.35,2.3,0.053,"ストレージリング側壁・前方は普通コンクリート。土は軽元素多めだがλはコンクリート同値で安全側",high,"PF.pdf 表2-1 p.34; 設計ρ=2.3、μp=0.053(=0.055×2.3/2.4)"
PF_RI,PF.pdf,普通コンクリート（RI遮蔽計算）,2.1,2.1,—,"密封線源γのビルドアップ計算でマニュアル準拠ρ=2.1を使用。実壁の密度推定は2.3–2.35を優先",medium,"PF.pdf p.44: 鉛11.34・コンクリート2.1 g/cm³"
Linac,Linac.pdf,普通コンクリート,2.35,2.3,0.053,"入射器トンネル・建屋の標準遮蔽。質量厚さ換算ではρ=2.3が申請・教材と整合",high,"Linac.pdf 表2.7 p.67–68"
Linac_HC,Linac.pdf,重コンクリート,3.65,3.65–3.7,0.080,"鉄鉱石/磁鉄鉱系骨材を想定。1 m重コン ≈ 普通コン75.7 cm + 鉄24.3 cm の2層に置き換え（減衰係数が鉄より小さいため安全側）",high,"Linac.pdf p.67: ρ=3.65; 表2.7 重コンρ=3.7 μ=0.080"
ATF,ATF.pdf,普通コンクリート,2.3,2.3,0.055,"ATF本体遮蔽はρ=2.3。光子μはコンクリート0.055・重コン0.08",high,"ATF.pdf p.30"
ATF_small,ATF.pdf,普通コンクリート（小型電子加速器）,2.1,2.1,0.055,"小型電子加速器のみ安全側でρ=2.1を採用",high,"ATF.pdf p.30 注‡"
ATF_HC,ATF.pdf,重コンクリート,—,（表のみ）,0.080,"減衰係数表に重コンあり。現地での使用箇所は図面で要確認",medium,"ATF.pdf p.30 μ表"
PS_FEL,PS.pdf,普通コンクリート,2.3,2.1–2.3,0.055,"FEL例題で中性子用d=ρtにρ=2.1、光子にρ=2.3。貫通孔埋めは『普通コンクリート』明記",high,"PS.pdf p.47, p.59"
PS_digital,PS.pdf,普通コンクリート（デジタル加速器/PS系）,2.1,2.1,—,"陽子シンクロトロン既往申請と同じρ（土1.6・コン2.1・鉄7.2）を継承。物理密度はKEK標準2.35の可能性あり",medium,"PS.pdf p.62 [11–19]"
BT,BT.pdf,普通コンクリート,2.3,2.3,0.055,"ρを明示: コンクリート2.3・土1.6。μ表に重コン0.08。実計算でも『密度はコンクリート2.3、土1.6』と再掲",high,"BT.pdf PDF p.47(本文38) 物質ρ; PDF p.54(本文45)・p.56(本文47) 計算適用"
SKEKB,SKEKB.pdf,普通コンクリート,2.3,2.3,0.055,"SuperKEKB申請でρ明示: 土1.6・コンクリート2.3・鉛11.3・鉄7.15。重コンはμ=0.08のみ（ρ=3.65の記載なし）。KEK標準2.35の文言は本PDFに見当たらず",high,"SKEKB.pdf PDF p.97(本文86) §3.3 遮へい計算"
DR,DR.pdf,普通コンクリート,2.35,2.3,—,"DRトンネル・LTR上部はコンクリート+土。他電子施設と同型の遮蔽計算",medium,"DR.pdf 表3.4–3.5; 施設3D_遮蔽層.csv"
先端計測,先端計測実験棟.pdf,普通RC（建物）,2.3,2.3,—,"平面寸法図のみで遮蔽密度の記載なし。一般RC建物としてρ≈2.3",low,"先端計測実験棟.pdf（寸法のみ）"
付帯_土,—,土/覆土,1.3–1.6,1.3–1.6,0.025,"施設図: 土ρ=1.3(PF/Linac DESY表)〜1.6(ATF/PS)。宇宙線解析のローム1.35・常総1.65とは別系統",high,"各施設PDFの物質表"
付帯_鉄,—,鉄,7.1–7.8,7.1–7.2,0.23,"純鉄7.86より小さく安全側。銅・SUSは鉄近似",high,"ATF/PF/PS"
付帯_鉛,—,鉛,11.3,11.3,0.47,"標準値",high,"各施設PDF"
