filename,検出器,地点,wall_lo,wall_sb_lo,wall_sb_hi,wall_bg_mode_linear,wall_net_cps,wall_net_cps_linear,peak_net_cps,wall_valid,wall_valid_linear,ratio_linear_over_right,delta_cps
D1_20260818_1552_管理棟2階.mca,D1,管理棟2階,86,71–85,367–511,sideband,0.604386,0.221919,0.502234,1,1,0.3672,-0.382467
D1_20260818_1730_linac.mca,D1,linac,85,70–84,367–511,sideband,0.103164,-0.734209,0.068696,1,0,-7.117,-0.837373
D1_20260819_0832_管理棟2階.mca,D1,管理棟2階,85,70–84,367–511,sideband,0.649742,-0.028249,0.533573,1,0,-0.04348,-0.677991
D1_20260819_1344_管理棟1階.mca,D1,管理棟1階,85,70–84,367–511,sideband,0.477254,-0.23794,0.383008,1,0,-0.4986,-0.715195
D1_20260819_1530_地上.mca,D1,地上,85,70–84,367–511,sideband,0.541218,0.246092,0.433041,1,1,0.4547,-0.295126
D1_20260819_1854_放射線棟BT.mca,D1,放射線棟BT,99,84–98,413–511,sideband,0.117176,-0.435214,0.0775888,1,0,-3.714,-0.55239
D1_20260820_0807_PF.mca,D1,PF,97,82–96,405–511,sideband,0.23504,-0.489782,0.200659,1,0,-2.084,-0.724822
D1_20260820_1939_KEKB.mca,D1,KEKB,96,81–95,402–511,sideband,0.0505288,-0.521775,0.0332842,1,0,-10.33,-0.572303
D1_20260822_1633_熱中性子管理棟-30cm.mca,D1,熱中性子_30cm,103,88–102,431–511,sideband,7161.94,7477.63,1633.75,1,1,1.044,315.683
D1_20260822_1644_熱中性子管理棟2-80cm.mca,D1,熱中性子_80cm,95,80–94,400–511,sideband,2874.79,2982.91,1160.74,1,1,1.038,108.114
D1_20260822_1650_熱中性子管理棟-gain500.mca,D1,熱中性子_gain調整,62,47–61,367–511,sideband,4107.01,3318.06,1454.74,1,1,0.8079,-788.957
D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750.mca,D1,熱中性子_gain調整,84,69–83,367–511,sideband,4008.82,2572.54,9.52149,1,1,0.6417,-1436.28
D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更.mca,D1,熱中性子_gain調整,76,61–75,367–511,sideband,3796.44,1879.58,-4.47454,1,1,0.4951,-1916.86
D1_20260823_1510_Linac3.mca,D1,linac,95,80–94,400–511,sideband,0.113983,-2.11316,0.0586696,1,0,-18.54,-2.22714
D1_20260823_1510_PS.mca,D1,その他,96,81–95,402–511,sideband,0.0550009,-1.00802,0.0254079,1,0,-18.33,-1.06302
D1_20260823_1510_linac_testhole.mca,D1,linac,96,81–95,404–511,sideband,0.190453,-0.317077,0.124426,1,0,-1.665,-0.50753
D1_20260823_1510_linac_testhole_error.mca,D1,linac,96,81–95,404–511,sideband,0.190748,-0.316707,0.124344,1,0,-1.66,-0.507454
D2_20260821_080728_linac.mca,D2,linac,97,82–96,405–511,sideband,0.0749251,-0.485855,0.0447271,1,0,-6.485,-0.56078
D2_20260821_170217_linacIRON.mca,D2,linac_IRON,95,80–94,399–511,sideband,0.215983,-0.662738,0.187432,1,0,-3.068,-0.878722
D2_20260822_115234_PF.mca,D2,PF,96,81–95,403–511,sideband,0.145057,-0.254994,0.117435,1,0,-1.758,-0.400052
D2_20260822_155048_地上.mca,D2,地上,98,83–97,409–511,sideband,0.286488,0.0641849,0.243731,1,1,0.224,-0.222304
D2_20260822_1720_熱中性子管理棟.mca,D2,熱中性子_その他,96,81–95,403–511,sideband,284.338,321.204,246.126,1,1,1.13,36.8664
D2_20260823_0835_Linac3.mca,D2,linac,95,80–94,399–511,sideband,0.0850455,-1.50876,0.0408726,1,0,-17.74,-1.5938
d1_20260819_1520_管理棟2階.mca,d1,管理棟2階,97,82–96,409–511,sideband,0.201708,0.0682669,0.127072,1,1,0.3384,-0.133441
d1_20260822_1702_熱中性子管理棟-80cm.mca,d1,熱中性子_80cm,95,80–94,409–511,sideband,827.08,768.816,513.425,1,1,0.9296,-58.2644
