帯域,ch_lo,ch_hi,N_0819hoshasen2fd1,cps_0819hoshasen2fd1,cps_err_0819hoshasen2fd1,N_20260818_1552_kanri2f,cps_20260818_1552_kanri2f,cps_err_20260818_1552_kanri2f,N_20260818_1730_linac,cps_20260818_1730_linac,cps_err_20260818_1730_linac,N_D1_ground_0819,cps_D1_ground_0819,cps_err_D1_ground_0819,N_kanri1f_0819,cps_kanri1f_0819,cps_err_kanri1f_0819,N_kanri2f_0819,cps_kanri2f_0819,cps_err_kanri2f_0819
全チャンネル,0,511,289798,3.7721247610369155,0.007007100660605964,87283,65.36260470912094,0.22124044232958637,302171,71.79361559976469,0.1306048890213154,203879,42.93949541001333,0.09509784800328577,1131721,64.735142825372,0.060851378809502234,3490462,66.80697208634406,0.03575858552338861
ch0（オーバーフロー）,0,0,0,0.0,0,43020,32.21588688045075,0.1553226847241305,147072,34.943229606708094,0.09111671266174604,100203,21.10401884730436,0.06666913247842783,555620,31.781808463952853,0.04263729761241631,1719691,32.91465388654485,0.025099442976779303
ch0除く,1,511,289798,3.7721247610369155,0.007007100660605964,44263,33.14671782867019,0.15755061704823434,155099,36.85038599305659,0.09357019669738287,103676,21.83547656270897,0.0678146552703019,576101,32.95333436141914,0.043416024176884005,1770771,33.89231819979921,0.025469479792271012
ch1–20,1,20,144276,1.8779531674592718,0.004944105290845569,34082,25.522590810309683,0.13824907101149317,117111,27.82471553029259,0.08130773972336272,83718,17.632069397708914,0.0609387952721479,441144,25.23371029304564,0.037991892197335696,1355084,25.93612506386016,0.022280348671930572
ch21–80,21,80,128979,1.6788413983318737,0.004674661487071322,9026,6.759195606298198,0.07114548596572698,37391,8.8838276369698,0.045942707309597784,16573,3.490483362338205,0.027113464046239585,123574,7.068509411332403,0.02010778755964771,369242,7.067242097781284,0.011630393842281494
ch21–149,21,149,131257,1.7084927423909841,0.004715762247658282,9155,6.855798335437625,0.07165208953783624,37557,8.92326802069147,0.046044577325987254,16914,3.5623022742164,0.02739098215771653,124871,7.142698615424673,0.020213035126189667,374121,7.160625499981128,0.011706981107633088
ch81–149,81,149,2278,0.029651344059110463,0.0006212516058178292,129,0.09660272913942694,0.00850539604243372,166,0.039440383721670635,0.003061167455963416,341,0.07181891187819513,0.0038892121281332345,1297,0.07418920409226963,0.002060016618538344,4879,0.09338340219984423,0.0013369164999725014
ファイルROI 150–450,150,450,14255,0.1855486872531254,0.0015540832344179613,993,0.7436163568639609,0.023597951807352788,423,0.1005017006883535,0.004886559905476875,2946,0.6204648515928529,0.01143143662896089,9816,0.5614812855587653,0.005667193099912476,40401,0.7732696930264207,0.0038471129006289588
自動ROI（各地点）,,,10734,0.13971796625570312,0.0013485636830811152,759,0.5683834993552329,0.02063101399010595,328,0.07793039675125282,0.004302986320429557,2285,0.4812498933773486,0.010067636905246946,7578,0.4334662980811251,0.004979411710573182,31342,0.599881654385636,0.003388458939879876
共通ROI 314–366,314,366,2364,0.030770753887505324,0.0006328698415798569,759,0.5683834993552329,0.02063101399010595,328,0.07793039675125282,0.004302986320429557,2284,0.4810392807325445,0.01006543368016197,7558,0.4323222856818611,0.00497283649086815,31342,0.599881654385636,0.003388458939879876
左背景 280–310,280,310,595,0.007744754045290046,0.0003175039607297096,34,0.025461184424345085,0.004366557104827666,21,0.004989446133464357,0.0010887864086907217,114,0.024009841507666406,0.0022487276894405583,361,0.020649423806714987,0.0010868117793007886,1505,0.028805497091774046,0.0007425182359379918
右背景 370–400,370,400,8774,0.11420583528298296,0.0012192407782305292,36,0.026958901155188914,0.004493150192531486,17,0.0040390754413759085,0.0009796196867430085,75,0.015795948360306847,0.0018239590075857172,338,0.0193338095475614,0.0010516206028653755,1461,0.02796334302397467,0.000731583635262782
