site,detector,window,factor,contrib_pct,flux_multiplier,confidence,reference
地上,D1,wall,mu_equilibrium,0.0,0.01542,low,S1-S6
地上,D1,wall,hadron_primary,0.0,0.0925,low,S1-S6
地上,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
地上,D1,wall,detector_response,45.0,0.07713,medium,S1-S6
地上,D1,wall,radiogenic_floor,5.0,0.003797,low,S1-S6
地上,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
地上,D1,wall,analysis_background,5.0,1,low,S1-S6
管理棟2階,D1,wall,mu_equilibrium,0.0,0.1023,low,S1-S6
管理棟2階,D1,wall,hadron_primary,0.0,0.5419,low,S1-S6
管理棟2階,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
管理棟2階,D1,wall,detector_response,45.0,0.3827,medium,S1-S6
管理棟2階,D1,wall,radiogenic_floor,5.0,0.003797,low,S1-S6
管理棟2階,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
管理棟2階,D1,wall,analysis_background,5.0,1,low,S1-S6
管理棟1階,D1,wall,mu_equilibrium,0.0,0.1001,low,S1-S6
管理棟1階,D1,wall,hadron_primary,0.0,0.329,low,S1-S6
管理棟1階,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
管理棟1階,D1,wall,detector_response,45.0,0.3829,medium,S1-S6
管理棟1階,D1,wall,radiogenic_floor,5.0,0.003797,low,S1-S6
管理棟1階,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
管理棟1階,D1,wall,analysis_background,5.0,1,low,S1-S6
PF,D1,wall,mu_equilibrium,10.3,1.371,medium,S1-S6
PF,D1,wall,hadron_primary,0.0,0.2212,low,S1-S6
PF,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
PF,D1,wall,detector_response,36.4,0.3962,medium,S1-S6
PF,D1,wall,radiogenic_floor,5.0,0.05529,low,S1-S6
PF,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
PF,D1,wall,analysis_background,5.0,1,low,S1-S6
linac,D1,wall,mu_equilibrium,54.4,253,medium,S1-S6
linac,D1,wall,hadron_primary,0.0,0.02814,low,S1-S6
linac,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
linac,D1,wall,detector_response,0.0,0.4752,low,S1-S6
linac,D1,wall,radiogenic_floor,5.0,8,low,S1-S6
linac,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac,D1,wall,analysis_background,5.0,1,low,S1-S6
放射線棟BT,D1,wall,mu_equilibrium,50.7,16.24,medium,S1-S6
放射線棟BT,D1,wall,hadron_primary,0.0,0.1155,low,S1-S6
放射線棟BT,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
放射線棟BT,D1,wall,detector_response,2.7,0.4736,low,S1-S6
放射線棟BT,D1,wall,radiogenic_floor,5.0,0.4729,low,S1-S6
放射線棟BT,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
放射線棟BT,D1,wall,analysis_background,5.0,1,low,S1-S6
KEKB,D1,wall,mu_equilibrium,60.0,6.958e+04,medium,S1-S6
KEKB,D1,wall,hadron_primary,0.0,0.001594,low,S1-S6
KEKB,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
KEKB,D1,wall,detector_response,0.0,0.4764,low,S1-S6
KEKB,D1,wall,radiogenic_floor,5.0,2513,low,S1-S6
KEKB,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
KEKB,D1,wall,analysis_background,5.0,1,low,S1-S6
地上,D2,wall,mu_equilibrium,0.0,0.01511,low,S1-S6
地上,D2,wall,hadron_primary,0.0,0.09,low,S1-S6
地上,D2,wall,geometry_Gfast,0.0,1,low,S1-S6
地上,D2,wall,detector_response,45.0,0.07508,medium,S1-S6
地上,D2,wall,radiogenic_floor,5.0,0.003797,low,S1-S6
地上,D2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
地上,D2,wall,analysis_background,5.0,1,low,S1-S6
PF,D2,wall,mu_equilibrium,15.3,1.524,medium,S1-S6
PF,D2,wall,hadron_primary,0.0,0.2468,low,S1-S6
PF,D2,wall,geometry_Gfast,0.0,1,low,S1-S6
PF,D2,wall,detector_response,32.3,0.4412,medium,S1-S6
PF,D2,wall,radiogenic_floor,5.0,0.05529,low,S1-S6
PF,D2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
PF,D2,wall,analysis_background,5.0,1,low,S1-S6
linac,D2,wall,mu_equilibrium,55.7,288.2,medium,S1-S6
linac,D2,wall,hadron_primary,0.0,0.03219,low,S1-S6
linac,D2,wall,geometry_Gfast,0.0,1,low,S1-S6
linac,D2,wall,detector_response,0.0,0.5415,low,S1-S6
linac,D2,wall,radiogenic_floor,5.0,8,low,S1-S6
linac,D2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac,D2,wall,analysis_background,5.0,1,low,S1-S6
linac_IRON,D2,wall,mu_equilibrium,56.0,1.914e+07,medium,S1-S6
linac_IRON,D2,wall,hadron_primary,0.0,0.0001986,low,S1-S6
linac_IRON,D2,wall,geometry_Gfast,10.0,1.25,medium,S1-S6
linac_IRON,D2,wall,detector_response,0.0,0.5542,low,S1-S6
linac_IRON,D2,wall,radiogenic_floor,5.0,4.454e+05,low,S1-S6
linac_IRON,D2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac_IRON,D2,wall,analysis_background,5.0,1,low,S1-S6
管理棟2階,d1,wall,mu_equilibrium,0.0,0.1122,low,S1-S6
管理棟2階,d1,wall,hadron_primary,0.0,0.5962,low,S1-S6
管理棟2階,d1,wall,geometry_Gfast,0.0,1,low,S1-S6
管理棟2階,d1,wall,detector_response,45.0,0.4209,medium,S1-S6
管理棟2階,d1,wall,radiogenic_floor,5.0,0.003797,low,S1-S6
管理棟2階,d1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
管理棟2階,d1,wall,analysis_background,5.0,1,low,S1-S6
linac,d1,wall,mu_equilibrium,54.2,268.2,medium,S1-S6
linac,d1,wall,hadron_primary,0.0,0.02989,low,S1-S6
linac,d1,wall,geometry_Gfast,0.0,1,low,S1-S6
linac,d1,wall,detector_response,0.0,0.5039,low,S1-S6
linac,d1,wall,radiogenic_floor,5.0,8,low,S1-S6
linac,d1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac,d1,wall,analysis_background,5.0,1,low,S1-S6
地上,d2,wall,mu_equilibrium,0.0,0.03522,low,S1-S6
地上,d2,wall,hadron_primary,0.0,0.25,low,S1-S6
地上,d2,wall,geometry_Gfast,0.0,1,low,S1-S6
地上,d2,wall,detector_response,45.0,0.206,medium,S1-S6
地上,d2,wall,radiogenic_floor,5.0,0.003797,low,S1-S6
地上,d2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
地上,d2,wall,analysis_background,5.0,1,low,S1-S6
linac,d2,wall,mu_equilibrium,60.0,318.7,medium,S1-S6
linac,d2,wall,hadron_primary,0.0,0.03569,low,S1-S6
linac,d2,wall,geometry_Gfast,0.0,1,low,S1-S6
linac,d2,wall,detector_response,0.0,0.5988,low,S1-S6
linac,d2,wall,radiogenic_floor,5.0,8,low,S1-S6
linac,d2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac,d2,wall,analysis_background,5.0,1,low,S1-S6
linac_IRON,d2,wall,mu_equilibrium,57.1,2.09e+07,medium,S1-S6
linac_IRON,d2,wall,hadron_primary,0.0,0.0002173,low,S1-S6
linac_IRON,d2,wall,geometry_Gfast,10.0,1.25,medium,S1-S6
linac_IRON,d2,wall,detector_response,0.0,0.6052,low,S1-S6
linac_IRON,d2,wall,radiogenic_floor,5.0,4.454e+05,low,S1-S6
linac_IRON,d2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac_IRON,d2,wall,analysis_background,5.0,1,low,S1-S6
放射線棟BT,d2,wall,mu_equilibrium,60.0,20.47,medium,S1-S6
放射線棟BT,d2,wall,hadron_primary,0.0,0.1465,low,S1-S6
放射線棟BT,d2,wall,geometry_Gfast,0.0,1,low,S1-S6
放射線棟BT,d2,wall,detector_response,0.0,0.5976,low,S1-S6
放射線棟BT,d2,wall,radiogenic_floor,5.0,0.4729,low,S1-S6
放射線棟BT,d2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
放射線棟BT,d2,wall,analysis_background,5.0,1,low,S1-S6
KEKB,d2,wall,mu_equilibrium,60.0,8.758e+04,medium,S1-S6
KEKB,d2,wall,hadron_primary,0.0,0.002021,low,S1-S6
KEKB,d2,wall,geometry_Gfast,0.0,1,low,S1-S6
KEKB,d2,wall,detector_response,0.0,0.5997,low,S1-S6
KEKB,d2,wall,radiogenic_floor,5.0,2513,low,S1-S6
KEKB,d2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
KEKB,d2,wall,analysis_background,5.0,1,low,S1-S6
linac150,D1,wall,mu_equilibrium,50.4,6.2,medium,S1-S6
linac150,D1,wall,hadron_primary,0.0,0.1901,low,S1-S6
linac150,D1,wall,geometry_Gfast,0.0,1,low,S1-S6
linac150,D1,wall,detector_response,3.0,0.4723,low,S1-S6
linac150,D1,wall,radiogenic_floor,5.0,0.1743,low,S1-S6
linac150,D1,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac150,D1,wall,analysis_background,5.0,1,low,S1-S6
linac150,D2,wall,mu_equilibrium,54.7,7.068,medium,S1-S6
linac150,D2,wall,hadron_primary,0.0,0.2175,low,S1-S6
linac150,D2,wall,geometry_Gfast,0.0,1,low,S1-S6
linac150,D2,wall,detector_response,0.0,0.5389,low,S1-S6
linac150,D2,wall,radiogenic_floor,5.0,0.1743,low,S1-S6
linac150,D2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac150,D2,wall,analysis_background,5.0,1,low,S1-S6
linac150,d2,wall,mu_equilibrium,36.4,7.818,medium,S1-S6
linac150,d2,wall,hadron_primary,0.0,0.2412,low,S1-S6
linac150,d2,wall,geometry_Gfast,0.0,1,low,S1-S6
linac150,d2,wall,detector_response,14.6,0.5966,medium,S1-S6
linac150,d2,wall,radiogenic_floor,5.0,0.1743,low,S1-S6
linac150,d2,wall,calibration_systematic,8.0,1.15,medium,S1-S6
linac150,d2,wall,analysis_background,5.0,1,low,S1-S6
