detector,site,x,y
D1,地上,0.0,0.00131715
D2,地上,0.0,0.000934405
d2,地上,0.0,0.00131652
D1,testhole,57.0,0.000463503
d1,testhole,57.0,0.0035764
D1,PF,105.0,0.000572013
D2,PF,105.0,0.000473116
D1,BT,189.13043478260875,0.000285169
d2,BT,189.13043478260875,0.000148378
D1,Linac3,300.0,0.000277399
D2,Linac3,300.0,0.000277383
d1,Linac3,300.0,0.000303245
d2,Linac3,300.0,0.000166633
D1,PS,480.00000000000006,0.000133855
d1,PS,480.00000000000006,0.000295349
D1,KEKB,525.4347826086957,0.000122971
d2,KEKB,525.4347826086957,9.42425e-05
D2,linacIRON,728.2608695652175,0.000704447
d2,linacIRON,728.2608695652175,0.000563473
literature,神岡,80341.3043478261,7.8e-06
