検出器,地点,filename,wall_net_raw,wall_net_corrected,stat_err,sys_bg_err,dead_time_pct,bg_method,notes
D1,地上,D1_20260819_1530_地上.mca,0.541218,0.54156,0.0126513,0.202245,0.06327,sideband_right,R=0.5412 L=0.2461 G=0.6506; peak_ch=340; dead補正×1.0006
D1,管理棟2階,D1_20260819_0832_管理棟2階.mca,0.649742,0.650406,0.00426578,0.0752478,0.102,sideband_right,R=0.6497 L=-0.02825 G=0.8002; peak_ch=343; dead補正×1.0010
D1,管理棟1階,D1_20260819_1344_管理棟1階.mca,0.477254,0.47773,0.00629635,0.053954,0.09953,sideband_right,R=0.4773 L=-0.2379 G=0.5852; peak_ch=340; dead補正×1.0010
D1,testhole,D1_20260823_1510_linac_testhole.mca,0.190453,0.190839,0.00466642,0.062564,0.2022,sideband_right,R=0.1905 L=-0.3171 G=0.3156; peak_ch=387; dead補正×1.0020
D1,PF,D1_20260820_0807_PF.mca,0.23504,0.235238,0.002896,0.0370655,0.08399,sideband_right,R=0.235 L=-0.4898 G=0.3092; peak_ch=388; dead補正×1.0008
D1,linac,D1_20260823_1510_Linac3.mca,0.113983,0.114322,0.00267778,0.0131337,0.2965,sideband_right,R=0.114 L=-2.113 G=0.1403; peak_ch=383; dead補正×1.0030
D1,PS,D1_20260823_1510_PS.mca,0.0550009,0.0551029,0.00118076,0.0136325,0.185,sideband_right,R=0.055 L=-1.008 G=0.08227; peak_ch=385; dead補正×1.0019
D1,放射線棟BT,D1_20260819_1854_放射線棟BT.mca,0.117176,0.117303,0.00436619,0.0163817,0.1079,sideband_right,R=0.1172 L=-0.4352 G=0.1499; peak_ch=396; dead補正×1.0011
D1,KEKB,D1_20260820_1939_KEKB.mca,0.0505288,0.0505722,0.00144906,0.00784465,0.08581,sideband_right,R=0.05053 L=-0.5218 G=0.06622; peak_ch=385; dead補正×1.0009
D2,地上,D2_20260822_155048_地上.mca,0.286488,0.28681,0.00686949,0.184662,0.1123,sideband_right,R=0.2865 L=0.06418 G=0.4335; peak_ch=392; dead補正×1.0011
D2,PF,D2_20260822_115234_PF.mca,0.145057,0.145267,0.00244402,0.0575869,0.1445,sideband_right,R=0.1451 L=-0.255 G=0.2602; peak_ch=386; dead補正×1.0014
D2,linac,D2_20260823_0835_Linac3.mca,0.0850455,0.0852585,0.00153391,0.00889467,0.2498,sideband_right,R=0.08505 L=-1.509 G=0.1028; peak_ch=382; dead補正×1.0025
D2,linac_IRON,D2_20260821_170217_linacIRON.mca,0.215983,0.216283,0.00356968,0.0443242,0.1387,sideband_right,R=0.216 L=-0.6627 G=0.3046; peak_ch=382; dead補正×1.0014
d1,管理棟2階,d1_20260819_1520_管理棟2階.mca,0.201708,0.201729,0.00162635,0.067095,0.0104,sideband_right,R=0.2017 L=0.06827 G=0.2025; peak_ch=390; dead補正×1.0001
d1,testhole,d1_20260823_1509_linac_testhole.mca,0.40163,0.432333,0.00695342,0.128924,7.102,sideband_right,R=0.4016 L=-0.3684 G=0.6595; peak_ch=389; dead補正×1.0764
d1,linac,d1_20260823_1509_Linac3.mca,0.0340544,0.0340685,0.00120931,0,0.0412,sideband_right,R=0.03405 L=-0.4375 G=0.03405; peak_ch=393; dead補正×1.0004
d1,PS,d1_20260823_1509_PS.mca,0.0331677,0.0332684,0.00101153,0.0113772,0.3027,sideband_right,R=0.03317 L=-0.1724 G=0.05592; peak_ch=393; dead補正×1.0030
d2,地上,d2_20260822_155046_地上.mca,0.173913,0.176921,0.00568571,0.0543509,1.7,sideband_right,R=0.1739 L=-0.02073 G=0.2826; peak_ch=386; dead補正×1.0173
d2,linac,d2_20260823_0834_Linac3.mca,0.0220122,0.0220193,0.000656302,2.95728e-05,0.03216,sideband_right,R=0.02201 L=-0.3456 G=0.02207; peak_ch=387; dead補正×1.0003
d2,linac_IRON,d2_20260821_170219_linacIRON.mca,0.0744347,0.0764593,0.00160866,0.000855776,2.648,sideband_right,R=0.07443 L=-0.09242 G=0.07615; peak_ch=391; dead補正×1.0272
d2,放射線棟BT,d2_20260819_1859_放射線棟BT.mca,0.0196007,0.0196023,0.00143335,0,0.008395,sideband_right,R=0.0196 L=-0.0621 G=0.0196; peak_ch=391; dead補正×1.0001
d2,KEKB,d2_20260820_1939_KEKB.mca,0.0124494,0.0124508,0.000564718,0,0.01089,sideband_right,R=0.01245 L=-0.1069 G=0.01245; peak_ch=395; dead補正×1.0001
D1,linac150,D1_20260818_1730_linac.mca,0.103164,0.103282,0.00577009,0.00924154,0.1137,sideband_right,R=0.1032 L=-0.7342 G=0.1216; peak_ch=342; dead補正×1.0011
D2,linac150,D2_20260821_080728_linac.mca,0.0749251,0.0750358,0.00203507,0.0253523,0.1476,sideband_right,R=0.07493 L=-0.4859 G=0.1256; peak_ch=388; dead補正×1.0015
d2,linac150,d2_20260821_080725_linac.mca,0.113584,0.115563,0.002711,0.0485851,1.712,sideband_right,R=0.1136 L=-0.168 G=0.2108; peak_ch=391; dead補正×1.0174
