検出器,地点,t_eq_density_cm,t_eq_comp_cm,X_gcm2,mwe,phi_wall,phi_wall_err,peak_net_cps,wall_net_cps,wall_over_peak,meas_over_theory_39.2,meas_over_theory_60,filename
D1,地上,0.0,0.0,0.0,0.00,0.00131715,3.07892e-05,0.433041,0.541218,1.25,1,1,D1_20260819_1530_地上.mca
D1,管理棟2階,0.0,0.0,0.0,0.00,0.00158127,1.03816e-05,0.533573,0.649742,1.218,1.201,1.201,D1_20260819_0832_管理棟2階.mca
D1,管理棟1階,0.0,0.0,0.0,0.00,0.00116149,1.53233e-05,0.383008,0.477254,1.246,0.8818,0.8818,D1_20260819_1344_管理棟1階.mca
D1,testhole,57.0,57.0,131.1,1.31,0.000463503,1.13566e-05,0.124426,0.190453,1.531,1.507,0.9099,D1_20260823_1510_linac_testhole.mca
D1,PF,105.0,105.0,241.5,2.41,0.000572013,7.04795e-06,0.200659,0.23504,1.171,6.334,2.499,D1_20260820_0807_PF.mca
D1,linac,300.0,300.0,690.0,6.90,0.000277399,6.51686e-06,0.0586696,0.113983,1.943,445.5,31.26,D1_20260823_1510_Linac3.mca
D1,PS,480.0,480.0,1104.0,11.04,0.000133855,2.87359e-06,0.0254079,0.0550009,2.165,2.127e+04,302.9,D1_20260823_1510_PS.mca
D1,放射線棟BT,189.1,188.2,435.0,4.35,0.000285169,1.06259e-05,0.0775888,0.117176,1.51,27.04,5.063,D1_20260819_1854_放射線棟BT.mca
D1,KEKB,525.4,521.7,1208.5,12.09,0.000122971,3.52656e-06,0.0332842,0.0505288,1.518,6.23e+04,593.5,D1_20260820_1939_KEKB.mca
D2,地上,0.0,0.0,0.0,0.00,0.000934405,2.24054e-05,0.243731,0.286488,1.175,0.7094,0.7094,D2_20260822_155048_地上.mca
D2,PF,105.0,105.0,241.5,2.41,0.000473116,7.97136e-06,0.117435,0.145057,1.235,5.239,2.067,D2_20260822_115234_PF.mca
D2,linac,300.0,300.0,690.0,6.90,0.000277383,5.00296e-06,0.0408726,0.0850455,2.081,445.5,31.25,D2_20260823_0835_Linac3.mca
D2,linac_IRON,728.3,600.4,1675.0,16.75,0.000704447,1.16428e-05,0.187432,0.215983,1.152,6.321e+07,9.989e+04,D2_20260821_170217_linacIRON.mca
d1,管理棟2階,0.0,0.0,0.0,0.00,0.00179615,1.44822e-05,0.127072,0.201708,1.587,1.364,1.364,d1_20260819_1520_管理棟2階.mca
d1,testhole,57.0,57.0,131.1,1.31,0.00353324,4.07224e-05,0.0383712,0.396783,10.34,11.49,6.936,d1_20260823_1509_linac_testhole.mca
d1,linac,300.0,300.0,690.0,6.90,0.000303245,1.07686e-05,0.0139109,0.0340544,2.448,487.1,34.17,d1_20260823_1509_Linac3.mca
d1,PS,480.0,480.0,1104.0,11.04,0.000286043,5.7555e-06,0.00818803,0.0321227,3.923,4.544e+04,647.4,d1_20260823_1509_PS.mca
d2,地上,0.0,0.0,0.0,0.00,0.0013173,2.8246e-05,0.0460367,0.17968,3.903,1,1,d2_20260822_155046_地上.mca
d2,linac,300.0,300.0,690.0,6.90,0.00016138,4.8116e-06,0.00682382,0.0220122,3.226,259.2,18.18,d2_20260823_0834_Linac3.mca
d2,linac_IRON,728.3,600.4,1675.0,16.75,0.000545709,1.17937e-05,0.0461143,0.0744347,1.614,4.897e+07,7.738e+04,d2_20260821_170219_linacIRON.mca
d2,放射線棟BT,189.1,188.2,435.0,4.35,0.0001437,1.05084e-05,0.0117569,0.0196007,1.667,13.62,2.551,d2_20260819_1859_放射線棟BT.mca
d2,KEKB,525.4,521.7,1208.5,12.09,9.12716e-05,4.14016e-06,0.00572863,0.0124494,2.173,4.624e+04,440.5,d2_20260820_1939_KEKB.mca
D1,linac150,150.0,150.0,345.0,3.45,0.000251068,,0.068696,0.103164,1.502,8.767,,D1_20260818_1730_linac.mca（非採用・参考）
D2,linac150,150.0,150.0,345.0,3.45,0.000244374,,0.0447271,0.0749251,1.675,8.534,,D2_20260821_080728_linac.mca（非採用・参考）
d2,linac150,150.0,150.0,345.0,3.45,0.000838358,,0.00762503,0.114352,15,29.28,,d2_20260821_080725_linac.mca（非採用・参考）
