detector,window,t_eq_cm,phi
D1,wall,0.00,3.724790e-03
D1,wall,1.96,3.551264e-03
D1,wall,3.92,3.386255e-03
D1,wall,5.88,3.229346e-03
D1,wall,7.85,3.080136e-03
D1,wall,9.81,2.938248e-03
D1,wall,11.77,2.803321e-03
D1,wall,13.73,2.675013e-03
D1,wall,15.69,2.552998e-03
D1,wall,17.65,2.436966e-03
D1,wall,19.61,2.326623e-03
D1,wall,21.58,2.221689e-03
D1,wall,23.54,2.121897e-03
D1,wall,25.50,2.026996e-03
D1,wall,27.46,1.936744e-03
D1,wall,29.42,1.850913e-03
D1,wall,31.38,1.769284e-03
D1,wall,33.34,1.691653e-03
D1,wall,35.31,1.617821e-03
D1,wall,37.27,1.547602e-03
D1,wall,39.23,1.480818e-03
D1,wall,41.19,1.417301e-03
D1,wall,43.15,1.356889e-03
D1,wall,45.11,1.299430e-03
D1,wall,47.07,1.244779e-03
D1,wall,49.04,1.192798e-03
D1,wall,51.00,1.143355e-03
D1,wall,52.96,1.096326e-03
D1,wall,54.92,1.051592e-03
D1,wall,56.88,1.009041e-03
D1,wall,58.84,9.685637e-04
D1,wall,60.80,9.300599e-04
D1,wall,62.77,8.934320e-04
D1,wall,64.73,8.585879e-04
D1,wall,66.69,8.254400e-04
D1,wall,68.65,7.939050e-04
D1,wall,70.61,7.639035e-04
D1,wall,72.57,7.353602e-04
D1,wall,74.53,7.082036e-04
D1,wall,76.50,6.823654e-04
D1,wall,78.46,6.577810e-04
D1,wall,80.42,6.343888e-04
D1,wall,82.38,6.121303e-04
D1,wall,84.34,5.909497e-04
D1,wall,86.30,5.707942e-04
D1,wall,88.26,5.516134e-04
D1,wall,90.23,5.333595e-04
D1,wall,92.19,5.159871e-04
D1,wall,94.15,4.994528e-04
D1,wall,96.11,4.837156e-04
D1,wall,98.07,4.687363e-04
D1,wall,100.03,4.544778e-04
D1,wall,101.99,4.409047e-04
D1,wall,103.96,4.279834e-04
D1,wall,105.92,4.156819e-04
D1,wall,107.88,4.039700e-04
D1,wall,109.84,3.928186e-04
D1,wall,111.80,3.822003e-04
D1,wall,113.76,3.720890e-04
D1,wall,115.72,3.624599e-04
D1,wall,117.69,3.532893e-04
D1,wall,119.65,3.445548e-04
D1,wall,121.61,3.362350e-04
D1,wall,123.57,3.283096e-04
D1,wall,125.53,3.207594e-04
D1,wall,127.49,3.135660e-04
D1,wall,129.45,3.067119e-04
D1,wall,131.42,3.001805e-04
D1,wall,133.38,2.939561e-04
D1,wall,135.34,2.880237e-04
D1,wall,137.30,2.823689e-04
D1,wall,139.26,2.769783e-04
D1,wall,141.22,2.718389e-04
D1,wall,143.18,2.669384e-04
D1,wall,145.15,2.622652e-04
D1,wall,147.11,2.578083e-04
D1,wall,149.07,2.535570e-04
D1,wall,151.03,2.495013e-04
D1,wall,152.99,2.456317e-04
D1,wall,154.95,2.419391e-04
D1,wall,156.91,2.384150e-04
D1,wall,158.88,2.350510e-04
D1,wall,160.84,2.318395e-04
D1,wall,162.80,2.287730e-04
D1,wall,164.76,2.258444e-04
D1,wall,166.72,2.230470e-04
D1,wall,168.68,2.203745e-04
D1,wall,170.64,2.178208e-04
D1,wall,172.61,2.153801e-04
D1,wall,174.57,2.130470e-04
D1,wall,176.53,2.108163e-04
D1,wall,178.49,2.086828e-04
D1,wall,180.45,2.066421e-04
D1,wall,182.41,2.046895e-04
D1,wall,184.37,2.028209e-04
D1,wall,186.34,2.010321e-04
D1,wall,188.30,1.993193e-04
D1,wall,190.26,1.976788e-04
D1,wall,192.22,1.961071e-04
D1,wall,194.18,1.946010e-04
D1,wall,196.14,1.931572e-04
D1,wall,198.10,1.917728e-04
D1,wall,200.07,1.904449e-04
D1,wall,202.03,1.891708e-04
D1,wall,203.99,1.879479e-04
D1,wall,205.95,1.867738e-04
D1,wall,207.91,1.856460e-04
D1,wall,209.87,1.845625e-04
D1,wall,211.83,1.835210e-04
D1,wall,213.80,1.825196e-04
D1,wall,215.76,1.815563e-04
D1,wall,217.72,1.806294e-04
D1,wall,219.68,1.797371e-04
D1,wall,221.64,1.788778e-04
D1,wall,223.60,1.780498e-04
D1,wall,225.56,1.772517e-04
D1,wall,227.53,1.764822e-04
D1,wall,229.49,1.757397e-04
D1,wall,231.45,1.750231e-04
D1,wall,233.41,1.743312e-04
D1,wall,235.37,1.736627e-04
D1,wall,237.33,1.730166e-04
D1,wall,239.29,1.723918e-04
D1,wall,241.26,1.717873e-04
D1,wall,243.22,1.712022e-04
D1,wall,245.18,1.706356e-04
D1,wall,247.14,1.700865e-04
D1,wall,249.10,1.695543e-04
D1,wall,251.06,1.690380e-04
D1,wall,253.02,1.685370e-04
D1,wall,254.99,1.680505e-04
D1,wall,256.95,1.675780e-04
D1,wall,258.91,1.671186e-04
D1,wall,260.87,1.666719e-04
D1,wall,262.83,1.662373e-04
D1,wall,264.79,1.658141e-04
D1,wall,266.75,1.654019e-04
D1,wall,268.72,1.650002e-04
D1,wall,270.68,1.646085e-04
D1,wall,272.64,1.642264e-04
D1,wall,274.60,1.638534e-04
D1,wall,276.56,1.634890e-04
D1,wall,278.52,1.631330e-04
D1,wall,280.48,1.627850e-04
D1,wall,282.45,1.624445e-04
D1,wall,284.41,1.621113e-04
D1,wall,286.37,1.617850e-04
D1,wall,288.33,1.614653e-04
D1,wall,290.29,1.611520e-04
D1,wall,292.25,1.608447e-04
D1,wall,294.21,1.605433e-04
D1,wall,296.18,1.602473e-04
D1,wall,298.14,1.599567e-04
D1,wall,300.10,1.596712e-04
D1,wall,302.06,1.593905e-04
D1,wall,304.02,1.591144e-04
D1,wall,305.98,1.588429e-04
D1,wall,307.94,1.585755e-04
D1,wall,309.91,1.583123e-04
D1,wall,311.87,1.580530e-04
D1,wall,313.83,1.577974e-04
D1,wall,315.79,1.575455e-04
D1,wall,317.75,1.572969e-04
D1,wall,319.71,1.570517e-04
D1,wall,321.67,1.568097e-04
D1,wall,323.64,1.565707e-04
D1,wall,325.60,1.563346e-04
D1,wall,327.56,1.561014e-04
D1,wall,329.52,1.558708e-04
D1,wall,331.48,1.556429e-04
D1,wall,333.44,1.554174e-04
D1,wall,335.40,1.551943e-04
D1,wall,337.37,1.549735e-04
D1,wall,339.33,1.547549e-04
D1,wall,341.29,1.545385e-04
D1,wall,343.25,1.543241e-04
D1,wall,345.21,1.541117e-04
D1,wall,347.17,1.539012e-04
D1,wall,349.13,1.536925e-04
D1,wall,351.10,1.534856e-04
D1,wall,353.06,1.532804e-04
D1,wall,355.02,1.530768e-04
D1,wall,356.98,1.528748e-04
D1,wall,358.94,1.526744e-04
D1,wall,360.90,1.524754e-04
D1,wall,362.86,1.522778e-04
D1,wall,364.83,1.520816e-04
D1,wall,366.79,1.518868e-04
D1,wall,368.75,1.516932e-04
D1,wall,370.71,1.515009e-04
D1,wall,372.67,1.513098e-04
D1,wall,374.63,1.511198e-04
D1,wall,376.59,1.509310e-04
D1,wall,378.56,1.507433e-04
D1,wall,380.52,1.505566e-04
D1,wall,382.48,1.503710e-04
D1,wall,384.44,1.501863e-04
D1,wall,386.40,1.500027e-04
D1,wall,388.36,1.498199e-04
D1,wall,390.32,1.496381e-04
D1,wall,392.29,1.494572e-04
D1,wall,394.25,1.492771e-04
D1,wall,396.21,1.490978e-04
D1,wall,398.17,1.489194e-04
D1,wall,400.13,1.487418e-04
D1,wall,402.09,1.485649e-04
D1,wall,404.05,1.483888e-04
D1,wall,406.02,1.482134e-04
D1,wall,407.98,1.480387e-04
D1,wall,409.94,1.478648e-04
D1,wall,411.90,1.476915e-04
D1,wall,413.86,1.475188e-04
D1,wall,415.82,1.473468e-04
D1,wall,417.78,1.471755e-04
D1,wall,419.75,1.470047e-04
D1,wall,421.71,1.468346e-04
D1,wall,423.67,1.466650e-04
D1,wall,425.63,1.464961e-04
D1,wall,427.59,1.463276e-04
D1,wall,429.55,1.461598e-04
D1,wall,431.51,1.459924e-04
D1,wall,433.47,1.458256e-04
D1,wall,435.44,1.456593e-04
D1,wall,437.40,1.454936e-04
D1,wall,439.36,1.453283e-04
D1,wall,441.32,1.451635e-04
D1,wall,443.28,1.449992e-04
D1,wall,445.24,1.448353e-04
D1,wall,447.20,1.446719e-04
D1,wall,449.17,1.445090e-04
D1,wall,451.13,1.443465e-04
D1,wall,453.09,1.441844e-04
D1,wall,455.05,1.440228e-04
D1,wall,457.01,1.438616e-04
D1,wall,458.97,1.437008e-04
D1,wall,460.93,1.435404e-04
D1,wall,462.90,1.433804e-04
D1,wall,464.86,1.432209e-04
D1,wall,466.82,1.430617e-04
D1,wall,468.78,1.429028e-04
D1,wall,470.74,1.427444e-04
D1,wall,472.70,1.425863e-04
D1,wall,474.66,1.424286e-04
D1,wall,476.63,1.422713e-04
D1,wall,478.59,1.421143e-04
D1,wall,480.55,1.419577e-04
D1,wall,482.51,1.418014e-04
D1,wall,484.47,1.416454e-04
D1,wall,486.43,1.414898e-04
D1,wall,488.39,1.413345e-04
D1,wall,490.36,1.411796e-04
D1,wall,492.32,1.410249e-04
D1,wall,494.28,1.408706e-04
D1,wall,496.24,1.407166e-04
D1,wall,498.20,1.405630e-04
D1,wall,500.16,1.404096e-04
D1,wall,502.12,1.402565e-04
D1,wall,504.09,1.401038e-04
D1,wall,506.05,1.399513e-04
D1,wall,508.01,1.397991e-04
D1,wall,509.97,1.396472e-04
D1,wall,511.93,1.394957e-04
D1,wall,513.89,1.393444e-04
D1,wall,515.85,1.391933e-04
D1,wall,517.82,1.390426e-04
D1,wall,519.78,1.388921e-04
D1,wall,521.74,1.387420e-04
D1,wall,523.70,1.385920e-04
D1,wall,525.66,1.384424e-04
D1,wall,527.62,1.382930e-04
D1,wall,529.58,1.381439e-04
D1,wall,531.55,1.379951e-04
D1,wall,533.51,1.378465e-04
D1,wall,535.47,1.376981e-04
