[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 1
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
   dresol =  5.0000000E-02  # (D=0) width = sqrt(dresol**2 + dfano*E)
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   1.500000      # maximum value of e-mesh points
#    edel =  2.0000000E-02  # mesh width of e-mesh points
       ne =     75          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  2.00000E-02  4.00000E-02  6.00000E-02  8.00000E-02
#           1.00000E-01  1.20000E-01  1.40000E-01  1.60000E-01  1.80000E-01
#           2.00000E-01  2.20000E-01  2.40000E-01  2.60000E-01  2.80000E-01
#           3.00000E-01  3.20000E-01  3.40000E-01  3.60000E-01  3.80000E-01
#           4.00000E-01  4.20000E-01  4.40000E-01  4.60000E-01  4.80000E-01
#           5.00000E-01  5.20000E-01  5.40000E-01  5.60000E-01  5.80000E-01
#           6.00000E-01  6.20000E-01  6.40000E-01  6.60000E-01  6.80000E-01
#           7.00000E-01  7.20000E-01  7.40000E-01  7.60000E-01  7.80000E-01
#           8.00000E-01  8.20000E-01  8.40000E-01  8.60000E-01  8.80000E-01
#           9.00000E-01  9.20000E-01  9.40000E-01  9.60000E-01  9.80000E-01
#           1.00000E+00  1.02000E+00  1.04000E+00  1.06000E+00  1.08000E+00
#           1.10000E+00  1.12000E+00  1.14000E+00  1.16000E+00  1.18000E+00
#           1.20000E+00  1.22000E+00  1.24000E+00  1.26000E+00  1.28000E+00
#           1.30000E+00  1.32000E+00  1.34000E+00  1.36000E+00  1.38000E+00
#           1.40000E+00  1.42000E+00  1.44000E+00  1.46000E+00  1.48000E+00
#           1.50000E+00
     axis =   eng           # axis of output
     file = de.out          # file name of output for the above axis
     part =  all      
# kf/name :  0        
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          80 (  0)           0 (  0)          80 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n 
#  e-lower      e-upper        all       r.err 
   0.0000E+00   2.0000E-02   1.0000E-04  1.0000
   2.0000E-02   4.0000E-02   4.0000E-04  0.5000
   4.0000E-02   6.0000E-02   6.0000E-04  0.4082
   6.0000E-02   8.0000E-02   5.0000E-04  0.4472
   8.0000E-02   1.0000E-01   3.0000E-04  0.5774
   1.0000E-01   1.2000E-01   7.0000E-04  0.3780
   1.2000E-01   1.4000E-01   1.6000E-03  0.2500
   1.4000E-01   1.6000E-01   2.4000E-03  0.2041
   1.6000E-01   1.8000E-01   3.0000E-03  0.1826
   1.8000E-01   2.0000E-01   6.3000E-03  0.1260
   2.0000E-01   2.2000E-01   6.2000E-03  0.1270
   2.2000E-01   2.4000E-01   9.1000E-03  0.1048
   2.4000E-01   2.6000E-01   8.9000E-03  0.1060
   2.6000E-01   2.8000E-01   8.2000E-03  0.1104
   2.8000E-01   3.0000E-01   1.0300E-02  0.0985
   3.0000E-01   3.2000E-01   7.6000E-03  0.1147
   3.2000E-01   3.4000E-01   8.0000E-03  0.1118
   3.4000E-01   3.6000E-01   8.1000E-03  0.1111
   3.6000E-01   3.8000E-01   6.0000E-03  0.1291
   3.8000E-01   4.0000E-01   7.5000E-03  0.1155
   4.0000E-01   4.2000E-01   5.3000E-03  0.1374
   4.2000E-01   4.4000E-01   4.0000E-03  0.1581
   4.4000E-01   4.6000E-01   6.5000E-03  0.1240
   4.6000E-01   4.8000E-01   6.6000E-03  0.1231
   4.8000E-01   5.0000E-01   5.6000E-03  0.1336
   5.0000E-01   5.2000E-01   4.6000E-03  0.1474
   5.2000E-01   5.4000E-01   7.3000E-03  0.1170
   5.4000E-01   5.6000E-01   7.8000E-03  0.1132
   5.6000E-01   5.8000E-01   7.6000E-03  0.1147
   5.8000E-01   6.0000E-01   7.9000E-03  0.1125
   6.0000E-01   6.2000E-01   1.0100E-02  0.0995
   6.2000E-01   6.4000E-01   1.4000E-02  0.0845
   6.4000E-01   6.6000E-01   1.3100E-02  0.0874
   6.6000E-01   6.8000E-01   2.6400E-02  0.0615
   6.8000E-01   7.0000E-01   3.8000E-02  0.0513
   7.0000E-01   7.2000E-01   5.6100E-02  0.0422
   7.2000E-01   7.4000E-01   7.5800E-02  0.0363
   7.4000E-01   7.6000E-01   9.0600E-02  0.0332
   7.6000E-01   7.8000E-01   8.8400E-02  0.0336
   7.8000E-01   8.0000E-01   8.1700E-02  0.0350
   8.0000E-01   8.2000E-01   6.4100E-02  0.0395
   8.2000E-01   8.4000E-01   4.3400E-02  0.0480
