[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 1
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
   dresol =  5.0000000E-02  # (D=0) width = sqrt(dresol**2 + dfano*E)
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =  5.0000000E-02  # maximum value of e-mesh points
#    edel =  5.0000000E-04  # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  5.00000E-04  1.00000E-03  1.50000E-03  2.00000E-03
#           2.50000E-03  3.00000E-03  3.50000E-03  4.00000E-03  4.50000E-03
#           5.00000E-03  5.50000E-03  6.00000E-03  6.50000E-03  7.00000E-03
#           7.50000E-03  8.00000E-03  8.50000E-03  9.00000E-03  9.50000E-03
#           1.00000E-02  1.05000E-02  1.10000E-02  1.15000E-02  1.20000E-02
#           1.25000E-02  1.30000E-02  1.35000E-02  1.40000E-02  1.45000E-02
#           1.50000E-02  1.55000E-02  1.60000E-02  1.65000E-02  1.70000E-02
#           1.75000E-02  1.80000E-02  1.85000E-02  1.90000E-02  1.95000E-02
#           2.00000E-02  2.05000E-02  2.10000E-02  2.15000E-02  2.20000E-02
#           2.25000E-02  2.30000E-02  2.35000E-02  2.40000E-02  2.45000E-02
#           2.50000E-02  2.55000E-02  2.60000E-02  2.65000E-02  2.70000E-02
#           2.75000E-02  2.80000E-02  2.85000E-02  2.90000E-02  2.95000E-02
#           3.00000E-02  3.05000E-02  3.10000E-02  3.15000E-02  3.20000E-02
#           3.25000E-02  3.30000E-02  3.35000E-02  3.40000E-02  3.45000E-02
#           3.50000E-02  3.55000E-02  3.60000E-02  3.65000E-02  3.70000E-02
#           3.75000E-02  3.80000E-02  3.85000E-02  3.90000E-02  3.95000E-02
#           4.00000E-02  4.05000E-02  4.10000E-02  4.15000E-02  4.20000E-02
#           4.25000E-02  4.30000E-02  4.35000E-02  4.40000E-02  4.45000E-02
#           4.50000E-02  4.55000E-02  4.60000E-02  4.65000E-02  4.70000E-02
#           4.75000E-02  4.80000E-02  4.85000E-02  4.90000E-02  4.95000E-02
#           5.00000E-02
     axis =   eng           # axis of output
     file = de.out          # file name of output for the above axis
     part =  all      
# kf/name :  0        
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         105 (  0)           0 (  0)         105 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n 
#  e-lower      e-upper        all       r.err 
   0.0000E+00   5.0000E-04   2.0000E-03  0.5000
   5.0000E-04   1.0000E-03   3.5000E-03  0.3780
   1.0000E-03   1.5000E-03   3.5000E-03  0.3780
   1.5000E-03   2.0000E-03   5.5000E-03  0.3015
   2.0000E-03   2.5000E-03   2.0000E-03  0.5000
   2.5000E-03   3.0000E-03   3.0000E-03  0.4082
   3.0000E-03   3.5000E-03   2.0000E-03  0.5000
   3.5000E-03   4.0000E-03   2.0000E-03  0.5000
   4.0000E-03   4.5000E-03   2.5000E-03  0.4472
   4.5000E-03   5.0000E-03   5.0000E-03  0.3162
   5.0000E-03   5.5000E-03   5.0000E-03  0.3162
   5.5000E-03   6.0000E-03   4.0000E-03  0.3536
   6.0000E-03   6.5000E-03   6.0000E-03  0.2887
   6.5000E-03   7.0000E-03   4.5000E-03  0.3333
   7.0000E-03   7.5000E-03   4.0000E-03  0.3536
   7.5000E-03   8.0000E-03   5.0000E-03  0.3162
   8.0000E-03   8.5000E-03   4.5000E-03  0.3333
   8.5000E-03   9.0000E-03   2.0000E-03  0.5000
   9.0000E-03   9.5000E-03   3.0000E-03  0.4082
   9.5000E-03   1.0000E-02   6.0000E-03  0.2887
   1.0000E-02   1.0500E-02   4.0000E-03  0.3536
   1.0500E-02   1.1000E-02   3.0000E-03  0.4082
   1.1000E-02   1.1500E-02   3.0000E-03  0.4082
   1.1500E-02   1.2000E-02   2.5000E-03  0.4472
   1.2000E-02   1.2500E-02   2.0000E-03  0.5000
   1.2500E-02   1.3000E-02   2.0000E-03  0.5000
   1.3000E-02   1.3500E-02   4.0000E-03  0.3536
   1.3500E-02   1.4000E-02   3.5000E-03  0.3780
   1.4000E-02   1.4500E-02   3.5000E-03  0.3780
   1.4500E-02   1.5000E-02   3.0000E-03  0.4082
   1.5000E-02   1.5500E-02   4.0000E-03  0.3536
   1.5500E-02   1.6000E-02   3.5000E-03  0.3780
   1.6000E-02   1.6500E-02   6.0000E-03  0.2887
   1.6500E-02   1.7000E-02   3.0000E-03  0.4082
   1.7000E-02   1.7500E-02   4.0000E-03  0.3536
   1.7500E-02   1.8000E-02   6.0000E-03  0.2887
   1.8000E-02   1.8500E-02   6.0000E-03  0.2887
   1.8500E-02   1.9000E-02   4.0000E-03  0.3536
   1.9000E-02   1.9500E-02   4.5000E-03  0.3333
   1.9500E-02   2.0000E-02   3.0000E-03  0.4082
   2.0000E-02   2.0500E-02   3.5000E-03  0.3780
   2.0500E-02   2.1000E-02   4.5000E-03  0.3333
   2.1000E-02   2.1500E-02   3.5000E-03  0.3780
   2.1500E-02   2.2000E-02   4.5000E-03  0.3333
   2.2000E-02   2.2500E-02   2.5000E-03  0.4472
   2.2500E-02   2.3000E-02   4.0000E-03  0.3536
   2.3000E-02   2.3500E-02   4.0000E-03  0.3536
   2.3500E-02   2.4000E-02   5.0000E-03  0.3162
   2.4000E-02   2.4500E-02   3.0000E-03  0.4082
