[ T-Track ]
    title = Cosmic-ray flux in vacuum (ping)
     mesh =  reg            # mesh type is region-wise
      reg = 100
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   1000000.      # maximum value of e-mesh points
#    edel =  0.4605170      # mesh width of e-mesh points
       ne =     75          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  1.58489E-09  2.51189E-09  3.98107E-09  6.30957E-09
#           1.00000E-08  1.58489E-08  2.51189E-08  3.98107E-08  6.30957E-08
#           1.00000E-07  1.58489E-07  2.51189E-07  3.98107E-07  6.30957E-07
#           1.00000E-06  1.58489E-06  2.51189E-06  3.98107E-06  6.30957E-06
#           1.00000E-05  1.58489E-05  2.51189E-05  3.98107E-05  6.30957E-05
#           1.00000E-04  1.58489E-04  2.51189E-04  3.98107E-04  6.30957E-04
#           1.00000E-03  1.58489E-03  2.51189E-03  3.98107E-03  6.30957E-03
#           1.00000E-02  1.58489E-02  2.51189E-02  3.98107E-02  6.30957E-02
#           1.00000E-01  1.58489E-01  2.51189E-01  3.98107E-01  6.30957E-01
#           1.00000E+00  1.58489E+00  2.51189E+00  3.98107E+00  6.30957E+00
#           1.00000E+01  1.58489E+01  2.51189E+01  3.98107E+01  6.30957E+01
#           1.00000E+02  1.58489E+02  2.51189E+02  3.98107E+02  6.30957E+02
#           1.00000E+03  1.58489E+03  2.51189E+03  3.98107E+03  6.30957E+03
#           1.00000E+04  1.58489E+04  2.51189E+04  3.98107E+04  6.30957E+04
#           1.00000E+05  1.58489E+05  2.51189E+05  3.98107E+05  6.30957E+05
#           1.00000E+06
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ping.out        # file name of output for the above axis
     part =  neutron    photon    ( muon+      muon-    ) 
# kf/name :  2112       22        ( -13        13       ) 
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          82 (  0)           0 (  0)          82 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    100

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l n  y(photon  ),hh0dr n  y(p3-group),hh0ub n  
#  e-lower      e-upper        neutron   r.err      photon    r.err      p3-group  r.err 
   1.0000E-09   1.5849E-09   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-09   2.5119E-09   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-09   3.9811E-09   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-09   6.3096E-09   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-09   1.0000E-08   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-08   1.5849E-08   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-08   2.5119E-08   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-08   3.9811E-08   1.6762E-05  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-08   6.3096E-08   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-08   1.0000E-07   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-07   1.5849E-07   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-07   2.5119E-07   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-07   3.9811E-07   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-07   6.3096E-07   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-07   1.0000E-06   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-06   1.5849E-06   1.0309E-05  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-06   2.5119E-06   1.4516E-05  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-06   3.9811E-06   3.5210E-05  0.7078   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-06   6.3096E-06   1.1615E-05  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-06   1.0000E-05   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-05   1.5849E-05   6.9905E-06  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
