[ T-Track ]
    title = コンクリート内 中性子フラックス (エネルギースペクトル)
     mesh =  reg            # mesh type is region-wise
      reg = 20
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  0.3741701      # mesh width of e-mesh points
       ne =     80          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  1.45378E-09  2.11349E-09  3.07256E-09  4.46684E-09
#           6.49382E-09  9.44061E-09  1.37246E-08  1.99526E-08  2.90068E-08
#           4.21697E-08  6.13056E-08  8.91251E-08  1.29569E-07  1.88365E-07
#           2.73842E-07  3.98107E-07  5.78762E-07  8.41395E-07  1.22321E-06
#           1.77828E-06  2.58523E-06  3.75837E-06  5.46387E-06  7.94328E-06
#           1.15478E-05  1.67880E-05  2.44062E-05  3.54813E-05  5.15822E-05
#           7.49894E-05  1.09018E-04  1.58489E-04  2.30409E-04  3.34965E-04
#           4.86968E-04  7.07946E-04  1.02920E-03  1.49624E-03  2.17520E-03
#           3.16228E-03  4.59727E-03  6.68344E-03  9.71628E-03  1.41254E-02
#           2.05353E-02  2.98538E-02  4.34010E-02  6.30957E-02  9.17276E-02
#           1.33352E-01  1.93865E-01  2.81838E-01  4.09732E-01  5.95662E-01
#           8.65964E-01  1.25893E+00  1.83021E+00  2.66073E+00  3.86812E+00
#           5.62341E+00  8.17523E+00  1.18850E+01  1.72783E+01  2.51189E+01
#           3.65174E+01  5.30884E+01  7.71792E+01  1.12202E+02  1.63117E+02
#           2.37137E+02  3.44747E+02  5.01187E+02  7.28618E+02  1.05925E+03
#           1.53993E+03  2.23872E+03  3.25462E+03  4.73151E+03  6.87860E+03
#           1.00000E+04
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = neutron_concrete.out  # file name of output for the above axis
     part =  neutron  
# kf/name :  2112     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          87 (  0)           0 (  0)          87 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =     20

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l n  
#  e-lower      e-upper        neutron   r.err 
   1.0000E-09   1.4538E-09   7.7252E+05  0.0401
   1.4538E-09   2.1135E-09   1.5868E+06  0.0382
   2.1135E-09   3.0726E-09   3.1755E+06  0.0382
   3.0726E-09   4.4668E-09   6.6077E+06  0.0382
   4.4668E-09   6.4938E-09   1.3156E+07  0.0366
   6.4938E-09   9.4406E-09   2.5014E+07  0.0366
   9.4406E-09   1.3725E-08   4.5930E+07  0.0363
   1.3725E-08   1.9953E-08   8.0022E+07  0.0364
   1.9953E-08   2.9007E-08   1.2617E+08  0.0363
   2.9007E-08   4.2170E-08   1.7611E+08  0.0362
   4.2170E-08   6.1306E-08   2.0358E+08  0.0364
   6.1306E-08   8.9125E-08   1.8257E+08  0.0364
   8.9125E-08   1.2957E-07   1.1549E+08  0.0364
   1.2957E-07   1.8836E-07   4.9807E+07  0.0367
   1.8836E-07   2.7384E-07   1.9854E+07  0.0365
   2.7384E-07   3.9811E-07   1.3979E+07  0.0365
   3.9811E-07   5.7876E-07   1.3326E+07  0.0366
   5.7876E-07   8.4140E-07   1.2862E+07  0.0373
   8.4140E-07   1.2232E-06   1.2666E+07  0.0370
   1.2232E-06   1.7783E-06   1.2646E+07  0.0379
   1.7783E-06   2.5852E-06   1.2597E+07  0.0378
   2.5852E-06   3.7584E-06   1.2778E+07  0.0369
   3.7584E-06   5.4639E-06   1.2560E+07  0.0367
   5.4639E-06   7.9433E-06   1.2530E+07  0.0370
   7.9433E-06   1.1548E-05   1.2687E+07  0.0368
   1.1548E-05   1.6788E-05   1.2569E+07  0.0367
   1.6788E-05   2.4406E-05   1.2744E+07  0.0376
   2.4406E-05   3.5481E-05   1.2766E+07  0.0365
   3.5481E-05   5.1582E-05   1.2891E+07  0.0372
   5.1582E-05   7.4989E-05   1.2762E+07  0.0361
   7.4989E-05   1.0902E-04   1.2853E+07  0.0366
   1.0902E-04   1.5849E-04   1.2952E+07  0.0364
   1.5849E-04   2.3041E-04   1.2909E+07  0.0356
   2.3041E-04   3.3497E-04   1.2712E+07  0.0351
   3.3497E-04   4.8697E-04   1.2963E+07  0.0359
   4.8697E-04   7.0795E-04   1.2937E+07  0.0369
   7.0795E-04   1.0292E-03   1.2718E+07  0.0370
   1.0292E-03   1.4962E-03   1.2861E+07  0.0366
   1.4962E-03   2.1752E-03   1.3486E+07  0.0355
   2.1752E-03   3.1623E-03   1.2336E+07  0.0367
   3.1623E-03   4.5973E-03   1.2812E+07  0.0370
   4.5973E-03   6.6834E-03   1.3115E+07  0.0357
   6.6834E-03   9.7163E-03   1.3474E+07  0.0362
   9.7163E-03   1.4125E-02   1.4012E+07  0.0365
   1.4125E-02   2.0535E-02   1.4406E+07  0.0368
   2.0535E-02   2.9854E-02   1.4829E+07  0.0348
   2.9854E-02   4.3401E-02   1.5811E+07  0.0352
   4.3401E-02   6.3096E-02   1.7187E+07  0.0344
   6.3096E-02   9.1728E-02   1.8910E+07  0.0356
   9.1728E-02   1.3335E-01   2.2262E+07  0.0360
   1.3335E-01   1.9387E-01   2.6453E+07  0.0360
   1.9387E-01   2.8184E-01   2.7814E+07  0.0354
   2.8184E-01   4.0973E-01   3.0060E+07  0.0353
   4.0973E-01   5.9566E-01   3.6658E+07  0.0362
   5.9566E-01   8.6596E-01   5.4667E+07  0.0351
   8.6596E-01   1.2589E+00   4.2320E+07  0.0362
   1.2589E+00   1.8302E+00   5.7846E+07  0.0351
   1.8302E+00   2.6607E+00   7.2433E+07  0.0347
   2.6607E+00   3.8681E+00   6.0200E+07  0.0353
   3.8681E+00   5.6234E+00   5.7441E+07  0.0363
   5.6234E+00   8.1752E+00   4.8249E+07  0.0377
   8.1752E+00   1.1885E+01   3.6095E+07  0.0367
   1.1885E+01   1.7278E+01   3.1197E+07  0.0367
   1.7278E+01   2.5119E+01   3.1645E+07  0.0373
   2.5119E+01   3.6517E+01   3.5521E+07  0.0388
   3.6517E+01   5.3088E+01   3.9877E+07  0.0380
   5.3088E+01   7.7179E+01   4.4116E+07  0.0375
   7.7179E+01   1.1220E+02   4.9157E+07  0.0378
   1.1220E+02   1.6312E+02   4.6790E+07  0.0367
   1.6312E+02   2.3714E+02   4.1151E+07  0.0383
   2.3714E+02   3.4475E+02   3.0801E+07  0.0385
   3.4475E+02   5.0119E+02   2.0157E+07  0.0446
   5.0119E+02   7.2862E+02   1.1844E+07  0.0496
   7.2862E+02   1.0593E+03   9.4848E+06  0.0558
   1.0593E+03   1.5399E+03   8.1109E+06  0.0563
   1.5399E+03   2.2387E+03   6.3354E+06  0.0638
   2.2387E+03   3.2546E+03   3.6489E+06  0.0806
   3.2546E+03   4.7315E+03   1.6310E+06  0.1133
   4.7315E+03   6.8786E+03   8.2688E+05  0.1529
   6.8786E+03   1.0000E+04   4.1337E+05  0.2210

#   sum over                 2.4907E+09  0.0351

'no. =  1,  reg  =     20'
msuc: {\huge コンクリート内 中性子フラックス (エネルギースペクトル)}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 4.71734315685941406E-03 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+04 # Total history number or Total batch number
# maxcas =        1000 # History / Batch, only used for istdev=1
# bitrseed = 0111011010010100011001101100101001110100011011011011110011011010 # bit data of rseed
